term,genes,logFC_TR,source,weight,Direction-50.0%,Activation State-50.0%,Direction-66.0%,Activation State-66.0%,Direction-75.0%,Activation State-75.0%
Cebpd,Cttn;Tmem176b;Txndc5;Cdo1;Mtx1;Hdac2;Spen;Ctdsp2;Fgfr1;Akap13;Slc25a5;Zyx;Rras;Fth1;Slc39a14;Fnbp1l;Rfx3;Cd34;Arhgap21;Tnr;S100a6;Arpc1b;Exd2;Trim8;Marcks;Mpz;Pla2g7;Eif4g1;Lrig1;Lrrc8a;Rcn2;Fkbp5;Atp6v1a;Dlg5;Sgce;Gadd45b;Asna1;Tns2;Adamts1;Rgl1;Lamc1;Tst;Ifi204;Pltp;Kank1;Ifit3;Brd2;Echdc3;Emg1;Vldlr;Txndc16;Tmx2;Cyr61;Frem2;Dhrs7;Prkag2;Hjurp;Chchd3;Mylk;Ccnd2;Tbc1d9b;Fus;Capn2;Mgat3;Vim;Fbln5;Mat2a;Negr1;Hap1;Qk;Scd1;Mbnl2;Agpat1;Bcl2l1;Mapk3;Wls;Tpi1;Sdc2;Pnpla2;Pros1;Abl1;Etl4;Cdkn1a;Enpp2;Insig1;Atl2;Irak3;Dusp4;Tmc7;Kpna3;Sfxn1;Gnb5;Rph3a;Fnta;Atp5g1;Iqsec1;Mia2;Sfxn5;Zfp503;Gbp2;Slc43a3;Fkbp9;Btbd3;Tinagl1;Ampd3;Slc14a2;Larp1b;Nit1;Capg;Vdac2;Lgals1;Ntm;Ank;Xaf1;Zfp703;Cops6;Psmb8;Tmed2;Cdc37l1;Mtch1;Atoh8;Col5a3;Socs3;Zbtb16;Apip;Tgm2;Znfx1;Pnpo;Ptn;Fabp7;Ctsl;Gpd1;Tpt1;Ptgr2;Nf2;Ppard;Tnfaip6;Chid1;Rhof;Mfhas1;Srr;Eif3f;Sorbs1;Gfra1;Cxcl12;Spp1;Tspan4;Timp3;Arl6ip1;Tmem135;Ergic1;Sat1;Fam126a;Stat3;Reep3;Hlf;Ggta1;Gas5;Neat1;Gt(rosa)26sor;Cuedc2;Vgll3;Paqr6;Usp24;Osmr;Ptp4a2;Triobp;Spry2;Tuba4a;Gap43;Reep1;Sgpp1;Adcyap1r1;Cp;Fam107a,3.650053038,Chea;JASPAR-TRANSFAC,0.237127371,+,0.554285714,=,0,=,0
Clock,Rbm3;Ak4;Itm2c;Srr;Tspan6;Icam1;Dbp;Cxcl12;Tspan4;Ypel3;Mapk4;Timp3;Nap1l1;Nadk2;Prdx2;Slc25a5;Cnih1;Mark3;Eef2k;Carhsp1;Ndufb10;Mylk;Sult1a1;Stat3;Fus;Tmem86a;Ntsr2;Snrk;Tmem33;Atf4;Efhd1;Hlf;Map3k6;Igfbp4;Eif1;Marcks;Pla2g7;Gja1;Sdc2;Rcn2;Aqp4;Col4a2;Fkbp5;Mcl1;Snx5;Cdkn1a;Rsad2;Calr;Gadd45b;Junb;Kctd1;Tns2;Fos;Col5a3;Midn;Tgm2;Fabp7;Angptl4;Fam107a,0,IPA;Chea,0.079945799,+,0.542372881,=,0,=,0
Creb1,Rbm3;4-sep;Egln2;Ptprn;Spen;Bcs1l;Fth1;Col1a1;Usp54;Igtp;Arhgap21;Gpr179;Eif1;S100a11;Slc13a3;Exd2;Trim8;Ahnak;Slc30a1;Cherp;Atp6v1a;Tns2;Myl12a;Samd14;Tspyl1;Hmgn1;Laptm4a;Emg1;Fbxo31;Cyr61;Rida;Cebpd;Psmb10;Cnr1;Scd1;Mvk;Gria1;Clec3b;Kpna3;Smg5;Padi2;Camk2n1;Mafk;Smo;Hey2;Anapc4;Vdac2;Rab33b;Lgals1;Gsta4;Calr;Ndufv2;Socs3;Vamp1;Rasgrf2;Agap3;Gfra1;Gng12;H2-d1;Mrpl41;Map7d1;Tmem9;Tmem135;Eps15;Stat3;Cic;Wfs1;Atf4;Dner;Tm9sf3;Irf1;Ifrd1;Spcs2;Tuba4a;Maff;Fkbp3;Wnk2;Map1lc3b;Hadh;Senp8;Akap13;Nupr1;Zyx;Slc39a14;Nfasc;Ezr;Prkag1;Arpc1b;Lrrc8a;Rcn2;Lgals3bp;Fkbp5;Gadd45b;Mt1;Adamts1;Cdc42ep1;Lrrc59;Mboat2;Brd2;Golga4;Lcn2;Prkag2;Asxl1;Mark3;Psat1;Hjurp;Ndufa13;Mog;Hinfp;Galr3;Cmpk2;Negr1;Clcf1;Ip6k1;Hap1;Coq7;Olfm1;Tle1;Junb;Psd2;Cnn3;Iqsec1;Naxd;Zfp503;Myo18a;Kif5c;Dhrs7b;Btbd3;Calm3;Larp1b;Tnfrsf1a;Ppp1r15a;Capg;Slc1a4;Camta1;Tmem147;Commd10;Unc13a;Rnf10;Psmb8;Tmed2;Kctd1;Cdc37l1;Midn;Znfx1;Pnpo;Angptl4;Eef1a2;Rhof;Rnps1;Brinp2;Hip1;Ctnna2;Cyp2d22;Def8;Erp29;Tmem33;Hlf;Gse1;Neat1;Cstf2t;Cuedc2;Col23a1;Ptp4a2;H2-k1;Triobp;Prkcd;Pamr1;Cd302;Ndufc2;Tspan33;Ttll9;Mprip;Omg;Txndc5;Mtx1;Ctdsp2;Phgdh;Bc005537;Marcks;Bcl7a;Lrig1;Qdpr;Tnfrsf12a;Ndufs7;Tapbp;Akap2;Kremen1;Lamc1;Slc35a2;Icam1;Gpx3;Bcl3;Txndc16;Ablim2;Gnai2;Capn2;Amt;Nr1h2;Tspan31;Vim;Mat2a;Dhrs1;Rnf7;Mbnl2;Bcl2l1;Mgll;Mxra7;Capn5;Nrep;Cdkn1a;Marco;Pros1;Insig1;Atl2;Dusp4;Entpd6;Myo1c;Sfxn1;Gnb5;Atp5g1;Lman2l;8-mar;Sfxn5;Kcnc3;Tinagl1;Ccnh;Enoph1;Mbp;Nit1;Fbxo2;E2f5;Tgm1;9530068e07rik;Lmf1;Cadm3;Tmem205;Mtch1;Calm1;Zbtb16;Hdac7;Tpt1;Ctsl;Gabarapl1;Nf2;Thrsp;Snapc2;Chid1;Itm2c;Tead3;Tecr;Timp3;Dbndd2;Ergic1;Sat1;Lrp1;Ggta1;Arid5a;Haghl;H2-t23;Fads2;D3ertd751e;Etfb;Synm;Fam107a;Cttn;Sertad3;Ywhae;Astn1;Cmtm5;Sbds;Trim9;Fads3;Alpl;Slc25a5;Plce1;Fnbp1l;Nfkbiz;Rfx3;Tmem86a;Col16a1;Ddost;Lgals9;Mamstr;Tpm3;Rsad2;Cox5a;Rpl41;Sycp3;Gprc5b;Fam129b;Amotl2;Stk25;Kank1;Ldha;Slc22a17;Cltb;Tmx2;Chchd3;Ddc;Tbc1d9b;Ccnd2;Tmco1;Ahcyl1;Zfp869;Ppp1r9b;Agpat1;Pnpla2;Mcl1;Abl1;Fos;Rhoj;Ralgds;Irf7;Pigs;Fnta;Erf;Coro1c;Chst2;Myo6;Ifi27;Eef1a1;Tom1;Ifi47;Map3k6;Stat1;Ntm;Zfp703;Jam2;Rnf126;Arl6ip4;Rpsa;Fmc1;Ppard;Ak4;Slc6a8;Tmem9b;Dbp;Cxcl12;Cyp51;Ctxn1;Tspan4;Smad1;Smox;Sdhc;Tnk2;Pick1;Sqstm1;Lrtm2;Tmem59;Stard7;Ramp1;Aqp4;Fuz;Slc39a1;Spry2;Man2a2;Gap43;Tspyl2;Fyco1,0,IPA;JASPAR-TRANSFAC;Chea,0.487804878,+,0.580555556,=,0,=,0
Ctnnb1,Lsr;Sertad3;Map1lc3b;Spen;Ypel3;Fgfr1;Akap13;Ctnna1;Saa3;Slc39a14;Col1a1;Cd34;Nfasc;Msx1;Crispld2;Trim8;Marcks;Mpz;Lrig1;Fkbp5;Timp1;Dlg5;Gadd45b;Gjb2;Amotl2;Clip3;Kank1;Emg1;Golga4;Txndc16;Tmx2;Cyr61;Apod;Btbd17;Ablim2;Mark3;Mylk;Ccnd2;Ndufa13;Cnr1;Sbno2;Ece2;Capn2;Amt;Nudt4;Mgat3;Vim;Ppp1r9b;Fat3;Mbnl2;Bcl2l1;Gja1;Sdc2;Macf1;Mcl1;Cdkn1a;Enpp2;Fos;Myo1c;Steap4;Coro1c;Lgals3;Me1;Tmem140;Myo18a;Ifi27;Tnfrsf1a;Mbp;Camta1;Map3k6;Tmem47;Xaf1;Gsta4;Jam2;Col4a2;Tgm1;Cadm3;Atoh8;Rasl10b;Apip;Tgm2;Bag1;Ptgr2;Sox2;Gabarapl1;Ppard;Mfhas1;Sorbs1;Cxcl12;Spp1;Timp3;Eps15;Ifitm3;Ctnna2;Fam126a;Stat3;Flot1;Sqstm1;Lrp1;Rarg;Erp29;Cic;Stard7;Myoc;Bgn;Aqp4;Ptp4a2;Gap43;Reep1;Steap3;Etfb;Synm,0,IPA;Chea,0.151761518,+,0.6875,+,0.6875,=,0
Ebf1,Astn1;Adora1;Ptprn;Eif4g3;Bcs1l;Fnbp1l;Slc39a10;Col1a1;Cd34;Nfasc;Arhgap21;Tnr;Mpz;Slc30a1;Lrrc8a;Fam129b;Rgl1;Lamc1;Stk25;Ifi204;Echdc3;Cyr61;Frem2;Prkag2;Asxl1;Hjurp;Tmco1;Capn2;Itih5;Kcna1;Vim;Negr1;Olfm1;Pygb;Wls;Bcl2l1;Marco;Abl1;Arhgef4;Etl4;Ralgds;Irf7;Cnn3;Lman2l;Camk2n1;Kif5c;Pcp4l1;Endog;Fjx1;Aplnr;Btbd3;Cxcl10;1700025g04rik;Anapc4;Paqr8;Efhd1;Stat1;Fcgr2b;1110051m20rik;Cadm3;Dnm1;Socs3;Apip;Lao1;Dbi;Rasgrf2;Susd4;Tnfaip6;Itm2c;Fam241a;Cxcl12;Adamtsl2;Smox;Sdhc;Tmem9;Ccdc190;Ramp1;Dner;Ggta1;Myoc;Gas5;Irf1;Arid5a;Pmp2;Retreg2;Pamr1;Sccpdh;S1pr1;Tuba4a;Cd302;Steap3;Sirpa,0,IPA;Chea,0.124661247,+,0.565217391,=,0,=,0
Egr1,Iqsec2;Ttll9;Wnk2;Cttn;Lsr;Sertad3;Astn1;Adora1;Egln2;Cacna2d3;Map1lc3b;Txndc5;Hadh;Ypel3;Ctdsp2;Hdac2;Fgfr1;Prrc2b;Nap1l1;Fads3;Phgdh;Alpl;Shisa9;Ctnna1;Senp8;Slc25a5;Thrsp;Zyx;Rras;Ifit3b;Anxa7;Slc39a14;Tppp;Cldn10;Fnbp1l;Klc3;Rfx3;Serpina3m;Col1a1;Tsc22d4;Paqr7;Lcat;Igtp;Arhgap21;Slc38a3;Eif1;Arpc1b;Lgals9;Crispld2;Trim8;Ahnak;Eif4g1;Bcl7a;Slc30a1;Hacd3;Olfml3;Tnfrsf12a;Fkbp5;Timp1;Sun2;Flnc;Cox5a;Gadd45b;Asna1;Tns2;Dlg5;Samd14;Vta1;Metrn;Gprc5b;Tspyl1;Cdc42ep1;Adcy2;Akap2;Hmgn1;Tapbp;Lamc1;Kremen1;Sbsn;Btbd1;Stk25;Slc35b2;Mboat2;Brd2;Ifit3;Icam1;Echdc3;Fbxo31;Bcl3;Txndc16;Lcn2;Cyr61;Prkag2;Prdx2;1110008p14rik;Frmpd1;Psmb10;Ablim2;Mark3;Gnai2;Chchd3;Ddc;Ccnd2;Tbc1d9b;Sbno2;Fus;Ahcyl1;Icosl;Nudt4;Sqle;Galr3;Kcna1;Mgat3;Nr1h2;Snrk;Tspan31;Adam15;Clcf1;Qk;A4galt;Ppp1r9b;Scd1;Kif5a;Mapk3;Olfm1;Bcl2l1;Tle1;Pnpla2;Mgll;Mtmr3;Macf1;Sdc2;Hr;Marco;Capn5;Abl1;Cdkn1a;Arhgef4;Gria1;Junb;Insig1;Atl2;Clec3b;Gbp3;Irak3;Dusp4;Entpd6;Myo1c;Psd2;Kpna3;Foxp4;Ralgds;Slc22a4;Irf7;Gnb5;Stim1;Steap4;Slc25a34;Rtn2;Erf;Fnta;Iqsec1;Atp5g1;Coro1c;Padi2;Mia2;Camk2n1;Mafk;Me1;Cd109;Sfxn5;Reep5;Myo18a;Kif5c;Kcnc3;Taldo1;Smo;Myo6;Fjx1;Gbp2;Btbd3;Tinagl1;C1ql1;Ampd3;Ephx2;Slc25a18;Ergic3;Slc14a2;Tnfrsf1a;Eef1a1;Mbp;Tom1;Capg;E2f5;Slc1a4;Camta1;Plxnd1;Commd10;Unc13a;Rab33b;Lgals1;Osgep;Map3k6;Stat1;Efhd1;Cavin1;Pfkl;Jam2;Ppp1r1b;Calr;Ndufv2;Kctd1;Synpo;Rnf126;Arl6ip4;Pmm1;Mtch1;Rasl10b;Calm1;Col5a3;Dnm1;Midn;Socs3;Zbtb16;Znfx1;Tgm2;Angptl4;Tpt1;Gdf10;Ctsl;Rasgrf2;Ptprd;Gabarapl1;Susd4;Snapc2;Eef1a2;Agap3;Ppard;Hspb1;Fam241a;Sncb;Chid1;Rnps1;Gab2;Tnfaip6;Tmem9b;Erbin;Tead3;Dbp;Gng12;Adamtsl2;Spp1;Cxcl12;Ctxn1;Tspan4;Fam92b;Dhcr7;Fndc5;Tnk2;Tmem9;Lgi3;Tshz1;Hip1;Eps15;Dbndd2;Serping1;Ergic1;C1ra;Stat3;Flot1;Reep3;Zc3hav1;Fez1;Erp29;Rarg;Lrp1;Cic;Stard7;Fxyd6;Ptdss1;Wfs1;Atf4;Oasl1;Hlf;Myoc;Gse1;Irf1;Slc5a3;Cstf2t;Cuedc2;Col23a1;Haghl;Ifrd1;Bgn;Osmr;Fuz;Slc39a1;H2-t23;Ptp4a2;Spcs2;C4b;Prkcd;Triobp;Sccpdh;Man2a2;Fads2;Spry2;Cd302;Reep1;Mdk;Ppa2;Maff;Steap3;Adcyap1r1;Sirpa;Asrgl1;Fyco1;Etfb;Tspan33,0,IPA;JASPAR-TRANSFAC;Chea,0.432249322,+,0.605015674,=,0,=,0
Elk1,Rbm3;4-sep;Lsr;Sertad3;Tspan6;Adora1;Rlbp1;Map1lc3b;Mtx1;Mapk4;Plod2;Fgfr1;Phgdh;Alpl;Nupr1;Plce1;Carhsp1;Rras;G6pc3;Col1a1;Msx1;Arhgap21;Tnr;Slc38a3;Col16a1;Msn;Ddost;Prkag1;Trim8;Ahnak;Bcl7a;Tpm3;Atp6v1a;Gadd45b;Samd14;Parp3;Rpl41;Vta1;Usp18;Tspyl1;Nrip3;Tst;Gpm6a;P4ha1;Kank1;Ifit3;Ldha;Brd2;Icam1;Pltp;Emg1;Frem2;Cyr61;Dhrs7;1110008p14rik;Asxl1;Mark3;Gnai2;Mylk;Tmco1;Ndufa13;Irf9;Capn2;Zfp869;Nr1h2;Hap1;Dhrs1;Ppp1r9b;Rnf7;Tspan3;Agpat1;Bcl2l1;Olfm1;Pygb;Hr;Macf1;Mcl1;Cdkn1a;Junb;Insig1;Enpp2;Fos;Slc7a10;Fam120c;Amigo2;Foxp4;Sfxn1;Gnb5;Pigs;Rtn2;Cnn3;Coro1c;Padi2;Mia2;Naxd;8-mar;Sfxn5;Dhrs7b;Smo;Tinagl1;Ampd3;Slc25a18;2210016f16rik;Cxcl10;Ergic3;Ccnh;Larp1b;Anapc4;Eif2ak2;Fbxo2;Paqr8;Osgep;Map3k6;Xaf1;Jam2;1110051m20rik;Drp2;Cops6;Agpat5;Col4a2;Rnf126;Arl6ip4;Pmm1;Atoh8;Rasl10b;Calm1;Rpsa;Dnm1;Fmc1;Zbtb16;Apip;Tgm2;Pnpo;Ptn;Dbi;Sv2b;Tnfaip6;Sncb;Slc6a8;Erbin;Gfra1;Dbp;Tead3;Spp1;Tspan4;Tecr;Smox;Tnk2;Hip1;Ctnna2;Pick1;Flot1;Ncan;Lrp1;Def8;Myoc;Tm9sf3;Arid5a;Col23a1;Vgll3;Ifrd1;C4b;Pamr1;Rpl4;Steap3;Cp;Kctd10,0,IPA;JASPAR-TRANSFAC;Chea,0.226287263,+,0.550898204,=,0,=,0
Ep300,Ndst1;Ywhae;Map1lc3b;Spen;Ctdsp2;Fgfr1;Fads3;Nln;Ctnna1;Nupr1;Carhsp1;Fth1;Klc3;Nfkbiz;Rfx3;Slc39a10;Col1a1;Tsc22d4;Rcan2;Nfasc;Msx1;Arhgap21;Crispld2;Trim8;Ahnak;Pla2g7;Lrig1;Olfml3;Lgals3bp;Rsad2;Dlg5;Gadd45b;Adi1;Samd14;Vta1;Metrn;Usp18;Ndufs7;Rgl1;Amotl2;Akap2;Btbd1;Brd2;Laptm4a;Vldlr;Glipr2;Idh2;Cyr61;Prkag2;1110008p14rik;Asxl1;Gnai2;Ddc;Ccnd2;Sbno2;Galr3;Pdxdc1;Tspan31;Vim;Qk;Ppp1r9b;A4galt;Mbnl2;Bcl2l1;Mcl1;Capn5;Cdkn1a;Etl4;Gria1;Insig1;Fos;Dusp4;Rhoj;Erf;Cnn3;Lgals3;Camk2n1;Mafk;Zfp503;Reep5;Kcnc3;4930402h24rik;Tinagl1;Ampd3;1700025g04rik;Eef1a1;Capg;Camta1;Plxnd1;Paqr8;Unc13a;Tmem47;Cavin1;Col4a2;Rnf10;Snx5;Kctd1;Mlh3;Pmm1;Dnm1;Fmc1;Socs3;Midn;Tgm2;Znfx1;Ptn;Lao1;Sox2;Rhof;Mfhas1;Gab2;Sorbs1;Gfra1;Cxcl12;Gng12;Cyp51;Tspan4;Smox;Timp3;Tnk2;Tshz1;Eef2k;Flot1;Sqstm1;Reep3;Rarg;Cic;Wfs1;Tm9sf3;Gse1;Arid5a;Rtp4;Rdh5;Prkcd;Spry2;Fads2;Chpt1;Ndufc2;Adcyap1r1;Fyco1;Cp;Tspan33,0,IPA;Chea,0.192411924,+,0.725352113,+,0.725352113,=,0
Ets2,Ifit3;Brd2;Icam1;Mia2;Adora1;Ppp1r1a;Spp1;Hmgn1;Trim9;Nap1l1;Akap13;Ifi27;Nipsnap2;Carhsp1;Hjurp;Ergic1;Cd34;Usp54;Arhgap21;Lrtm2;Slc1a4;Dhrs1;Lgals9;Apoh;Kif5a;Cuedc2;Bcl2l1;Agpat1;Fcgr2b;Il13ra1;Slc44a1;Macf1;Usp24;Cops6;Cdkn1a;Junb;Kctd1;Tmsb4x;Fos;Irak3;Tspyl2;Adamts1;Hdac7;Ndufc2;Steap3;Asrgl1;Sirpa;Angptl4;Akap2;Ptn;Dbi;Efr3b;Fabp7;Btbd1;Rgl1;Sox2,0,IPA;JASPAR-TRANSFAC;,0.077235772,+,0.684210526,+,0.684210526,=,0
Fev,Tns2;Vim;Irak3;Fos;Brd2;Icam1;Zyx;Myo1c;Cmtm5;Ddc;Pygb;Maff;Fbxo31;Jam2;Qdpr;Flot1;Lpar1;Kctd10,0,IPA;JASPAR-TRANSFAC;,0.024390244,+,0.722222222,+,0.722222222,=,0
Fos,Rbm3;Adora1;Ptprn;Trim9;Akap13;Bcs1l;Ctnna1;Alpl;Rdh12;Plce1;Zyx;Fth1;Anapc16;Nfkbiz;Col1a1;Cd34;Slc38a3;Col16a1;Ezr;Gpr179;S100a11;Pla2g7;Tpm3;Lgals3bp;Timp1;Cyc1;Sun2;Flnc;Apln;Ndufs7;Rgl1;Akap2;Lamc1;Stk25;Kank1;Ldha;Icam1;Laptm4a;Bcl3;Cd14;Tbc1d9b;Cnr1;Capn2;Snrk;Sqle;Vim;A4galt;Gja1;Pgm5;Macf1;Etl4;Junb;Hhatl;Fos;Psd2;Amigo2;Rhoj;Ralgds;Slc22a4;Endou;Sfxn1;Gnb5;Stim1;Atp5g1;Lman2l;Lgals3;Mafk;8-mar;Me1;Cd109;Gbp2;Taldo1;Myo6;Ephx2;Cxcl10;Calm3;Larp1b;Nit1;Capg;9-sep;Vdac2;Ifi47;Xaf1;Txndc15;Zfp703;Gsta4;Cops6;Tgm1;Snx5;Synpo;Cdc37l1;Socs3;Hdac7;Apip;Eci1;Lao1;Ptprd;Gabarapl1;Sorbs1;Gng12;Spp1;Smox;Tmem135;Dbndd2;C1ra;Reep3;Sqstm1;Zc3hav1;Rarg;Cic;Gbp5;Gas5;Cuedc2;Pmp2;Ifrd1;Bmpr1a;Ptp4a2;H2-k1;Sirpa;Etfb;Tagln3;Synm;Fam107a,1.610334788,IPA;JASPAR-TRANSFAC;,0.166666667,+,0.642276423,=,0,=,0
Foxo1,Iqsec2;Cttn;Map1lc3b;Omg;Kctd10;Phgdh;Zyx;Slc39a14;Bc005537;Nfkbiz;Slc39a10;Col1a1;Cd34;Paqr7;Arhgap21;Msn;S100a6;Ezr;S100a11;Lgals9;Ucp2;Eif1;Arl5c;Trim8;Ahnak;Marcks;Lrig1;Tpm3;Lgals3bp;Atp6v1a;Gadd45b;Oasl2;Apln;Samd14;Fam129b;Akap2;Kremen1;Stk25;Brd2;Icam1;Emg1;Txndc16;Ablim2;Gnai2;Nsg2;Ndufa13;Cnr1;Sqle;Clcf1;Mat2a;Ppp1r9b;Tpi1;Pnpla2;Il13ra1;Mgll;Mcl1;Cdkn1a;Junb;Atl2;Fos;Ppp1r3g;Dusp4;Entpd6;Psd2;Foxp4;Ralgds;Stim1;Mafk;Me1;Myo18a;Tmem140;Pcp4l1;Cxcl10;Mbp;Zbtb42;Capg;Ntsr2;Paqr8;Rab33b;Efhd1;Stat1;Ednrb;Col4a2;Psmb8;Tmsb4x;Atoh8;Calm1;Socs3;Hdac7;Midn;Tgm2;Znfx1;Scg5;Zbtb16;Angptl4;Gpd1;Bag1;Tpt1;Aldh1l1;Sox2;Gabarapl1;Hspb1;Fam241a;Rhof;Mfhas1;Sc5d;H2-d1;Tecr;Dhcr7;Smox;Arhgap5;Tnk2;Aspg;Cidea;Ehd3;Flot1;Sat1;Sqstm1;Lrp1;Rarg;Cic;Wfs1;Ramp1;Dner;Gbp5;Gse1;Irf1;Arid5a;Cuedc2;Cers5;Ifrd1;Bgn;Retreg2;Prkcd;Spry2;S1pr1;Fads2;Synm,0,IPA;Chea,0.18699187,+,0.68115942,+,0.68115942,=,0
Foxo3,Lgalsl;Egln2;Mtx1;Hdac2;Ctdsp2;Ctnna1;Nupr1;Lxn;Fnbp1l;Igtp;H2-q4;Ucp2;Ahnak;Mpz;Cherp;Dlg5;Gadd45b;Apln;Mt1;Adi1;Vta1;Ndufs7;Fam129b;Akap2;Lamc1;Kremen1;Sbsn;Slc35b2;Brd2;Icam1;Them4;Cltb;Emg1;Idh2;Lcn2;Cyr61;A730017l22rik;Hjurp;Ccnd2;Tbc1d9b;Tmco1;Fus;Capn2;Hinfp;Cmpk2;Vim;Mat2a;Ip6k1;Rnf7;Bcl2l1;Mgll;Pros1;Gpx1;Cdkn1a;Clec3b;Junb;Enpp2;Fos;Slc7a10;Amigo2;Foxp4;Ralgds;Kansl3;Epb41l4aos;Naxd;Me1;Tmem140;4930402h24rik;Myo6;Tinagl1;Ampd3;2210016f16rik;Cxcl10;Calm3;Tnfrsf1a;Larp1b;1700025g04rik;Anapc4;Eef1a1;Vdac2;Slc1a4;Tmem147;Rab33b;Igfbp4;Txndc15;Ednrb;Pfkl;1110051m20rik;Col4a2;Psmb8;Ndufv2;Mlh3;Ifit1;Cdc37l1;Fmc1;Hdac7;Apip;Mob4;Eci1;Tpt1;Vamp1;Ptgr2;Gabarapl1;Snapc2;Agap3;Hspb1;Shisa5;Tmem9b;H2-d1;Tspan4;Dhcr7;Sdhc;Smox;Cidea;Hip1;Dbndd2;Flot1;Reep3;Tmem59;Gt(rosa)26sor;Irf1;Cstf2t;Cers5;D8ertd738e;Usp24;Aqp4;Fuz;Spcs2;Prkcd;Sccpdh;S1pr1;Maff;Ppa2;Fkbp3,0,IPA;JASPAR-TRANSFAC;Chea,0.181571816,+,0.559701493,=,0,=,0
Fus,Atl2;Spry2;Tmem135;Brd2;Mat2a;Apip;Gng12;Cyr61;Gja1;Fam126a;Usp24;Eef1a1;Hmgn1;Hdac2;Eif4g3,0.812904016,Chea,0.020325203,+,0.533333333,=,0,=,0
Gata6,Cttn;Astn1;Adora1;Cacna2d3;Mtx1;Ypel3;Spen;Eif4g3;Nap1l1;Nln;Phgdh;Alpl;Nupr1;Saa3;Rdh12;Fth1;Slc39a14;Fnbp1l;Cd34;Paqr7;Nfasc;Arhgap21;Tnr;Ddost;Col16a1;S100a6;S100a11;Eif1;Ucp2;Marcks;Ahnak;Mpz;Slc30a1;Hacd3;Lrig1;Olfml3;Tpm3;Cox5a;Asna1;Myl12a;Lamc1;Stk25;Pltp;Kank1;Ldha;Them4;Echdc3;Laptm4a;Txndc16;Frem2;Cyr61;Dhrs7;Psmb10;Hjurp;Mylk;Tmco1;Irf9;Capn2;Ahcyl1;Snrk;Mgat3;Itih5;Vim;Adam15;Dhrs1;Negr1;Mapk3;Bcl2l1;Wls;Tle1;Macf1;Plekhm2;Marco;Mcl1;Gbp3;Cdkn1a;Junb;Fos;Dusp4;Amigo2;Slc25a34;Smg5;Cnn3;Coro1c;Padi2;Lgals3;Camk2n1;Pcp4l1;Gbp2;Myo6;Btbd3;Tinagl1;Calm3;Ppp1r15a;Eef1a1;Nit1;Fbxo2;Vdac2;Camta1;Map3k6;Fcgr2b;Col4a2;Kctd1;Cadm3;Calm1;Apip;Znfx1;Sox2;Thrsp;Nf2;Mvp;Gabarapl1;Susd4;Rhof;Mfhas1;Sorbs1;Gng12;Cxcl12;Pllp;Tecr;Sdhc;Arhgap5;Fndc5;Map7d1;Tmem9;Tmem135;Tshz1;Eps15;Stat3;Sqstm1;Reep3;Rarg;Erp29;Tmem59;Gbp5;Myoc;Neat1;Cstf2t;Paqr6;Rdh5;Bmpr1a;Usp24;C4b;Ptp4a2;Prkcd;Sccpdh;S1pr1;Chpt1;Mdk;Ndufc2,0,IPA;Chea,0.203252033,+,0.593333333,=,0,=,0
Gfi1,Nf2;Atp5g1;;Hspb1;Pltp;Icam1;Ywhae;Cltb;Bcl3;Fbxo31;Spen;Eif4g3;Fgfr1;Cd14;Bcs1l;Nupr1;Ampd3;Rdh12;Carhsp1;Sult1a1;Tnfrsf1a;Klc3;Ppp1r15a;Eif2ak2;G6pc3;Fbxo2;Ncan;Lpar1;E2f5;Amt;Capg;Galr3;Mgat3;Nr1h2;Hap1;Igfbp4;Stat1;A4galt;Irf1;Mapk3;Eif4g1;Txndc15;Gja1;Vgll3;Mtmr3;Lrrc8a;Pnpla2;Fkbp5;Pros1;Ptp4a2;Cdkn1a;Cox5a;Asna1;Tuba4a;Rpl41;Pmm1;Tmc7;Midn;Sycp3;Kpna3;Endou;Ralgds;Fam107a,0,IPA;JASPAR-TRANSFAC;,0.08401084,+,0.64516129,=,0,=,0
Hif1a,Map1lc3b;Ptprn;Plod2;Prrc2b;Akap13;Rdh12;Carhsp1;Cldn10;Tsc22d4;Gpr179;Eif1;Exd2;Eif4g1;Ahnak;Mamstr;Lrrc8a;Fkbp5;Cox5a;Gadd45b;Apln;Adamts1;Ndufs7;Akap2;P4ha1;Kank1;Pltp;Ldha;Emg1;Idh2;Cyr61;Psmb10;Gnai2;Hinfp;Mgat3;Vim;Adam15;Bcl2l1;Gja1;Tle1;Mtmr3;Mcl1;Cdkn1a;Fos;Endou;Irf7;Efr3b;Gnb5;Atp5g1;Coro1c;Mafk;Aplnr;Enoph1;9-sep;Lgals1;Efhd1;Ednrb;Pfkl;Agpat5;Tmed2;Rnf126;Ifit1;Rpsa;Socs3;Midn;Pnpo;Angptl4;Nf2;Snapc2;Hspb1;Shisa5;Tmem9b;Cxcl12;Pllp;Dhcr7;Serping1;Ergic1;Stat3;Sat1;Def8;Lrp1;Vgll3;Bgn;Aqp4;Fuz;Triobp;Sccpdh;Rpl4;Maff;Fyco1;Synm,0,IPA;JASPAR-TRANSFAC;Chea,0.12195122,+,0.633333333,=,0,=,0
