term,genes,logFC_TR,logFC_gene
Atf4,Atf4,1.41178457225921,1.41178457225921
Atf4,Dhrs1,1.41178457225921,0.8295968326884221
Atf4,Slc13a3,1.41178457225921,-1.22581533936927
Atf4,Coq7,1.41178457225921,-1.09221122551353
Atf4,Rnf7,1.41178457225921,-1.38464893149645
Atf4,Cstf2t,1.41178457225921,-0.7489993469268259
Atf4,Mamstr,1.41178457225921,11.022911126020201
Atf4,Gsta4,1.41178457225921,-0.579872402613575
Atf4,Ifrd1,1.41178457225921,1.3652250445024898
Atf4,Lrig1,1.41178457225921,0.7994297597864799
Atf4,Lrrc8a,1.41178457225921,0.8234478498017651
Atf4,Tnfrsf12a,1.41178457225921,3.8071796396428
Atf4,Osmr,1.41178457225921,4.07971997109687
Atf4,Fkbp5,1.41178457225921,2.9158965700015496
Atf4,Mcl1,1.41178457225921,0.743655940768822
Atf4,Mxra7,1.41178457225921,-1.42258198017363
Atf4,Snx5,1.41178457225921,-1.0950752980106702
Atf4,Calr,1.41178457225921,-0.654582415622124
Atf4,Cdkn1a,1.41178457225921,2.6019394154614903
Atf4,Mvk,1.41178457225921,-1.08610720916179
Atf4,Kctd1,1.41178457225921,0.925741042966144
Atf4,Gadd45b,1.41178457225921,3.0139778847137704
Atf4,Synpo,1.41178457225921,1.74481631429092
Atf4,Tns2,1.41178457225921,1.25322206003601
Atf4,Irak3,1.41178457225921,11.132487163413598
Atf4,Fos,1.41178457225921,1.6103347880854195
Atf4,Cdc37l1,1.41178457225921,-0.95658405231199
Atf4,Atoh8,1.41178457225921,1.89670988707434
Atf4,Tspyl2,1.41178457225921,1.01157851873912
Atf4,Metrn,1.41178457225921,-1.17795959252125
Atf4,Reep1,1.41178457225921,-1.63622552694643
Atf4,Midn,1.41178457225921,1.05014803637735
Atf4,Fam107a,1.41178457225921,0.9186015441403208
Atf4,Ppa2,1.41178457225921,-1.05186650842302
Atf4,Maff,1.41178457225921,4.18596030472309
Atf4,Fkbp3,1.41178457225921,-0.9203978631142842
Atf4,Fam129b,1.41178457225921,1.86935903615468
Atf4,Aldh1l1,1.41178457225921,0.6522892071695879
Atf4,Gabarapl1,1.41178457225921,0.698879635652308
Brca1,Hspb1,0.0,5.06801252327358
Brca1,Pltp,0.0,-0.766371636689082
Brca1,Chid1,0.0,-1.33717907206924
Brca1,Brd2,0.0,1.4230071474082802
Brca1,Ifit3,0.0,1.80493792566847
Brca1,Lgals3,0.0,1.2972872054254598
Brca1,Shisa5,0.0,1.5300860626164698
Brca1,Kank1,0.0,1.3839269021956295
Brca1,Ak4,0.0,-1.44022385988045
Brca1,Sertad3,0.0,9.81153668682666
Brca1,Ldha,0.0,-0.67443691654955
Brca1,Adamtsl2,0.0,6.284743136992719
Brca1,Fam92b,0.0,-7.7064822179356085
Brca1,Cyr61,0.0,3.4005604786713097
Brca1,Smox,0.0,1.23173231581473
Brca1,Fgfr1,0.0,0.666681748495448
Brca1,Vamp1,0.0,1.38004924444526
Brca1,Tnk2,0.0,0.7047533581478951
Brca1,Lgi3,0.0,-1.10523717366958
