Gene.Symbol,Refseq_ID,logFC
Fabp7,Fabp7,-1.3946969985854099
Steap3,Steap3,-1.39659773731203
Mob4,Mob4,-1.40109968670627
Mat2a,Mat2a,-1.40528829593456
Rlbp1,Rlbp1,-1.42095833142479
Mxra7,Mxra7,-1.42258198017363
Ece2,Ece2,-1.43645023081247
Ak4,Ak4,-1.44022385988045
Tst,Tst,-1.4489864709753502
Lman2l,Lman2l,-1.45624287262052
Commd10,Commd10,-1.45758089228385
Lcat,Lcat,-1.4602200408665702
Pllp,Pllp,-1.4721817038995
Thrsp,Thrsp,-1.48317975782157
Fat3,Fat3,-1.49146726649991
Amt,Amt,-1.49589428368523
Hhatl,Hhatl,-1.50553915289409
Fndc5,Fndc5,-1.53370266400554
Lgals1,Lgals1,-1.5401062048979801
Plod2,Plod2,-1.5416139475777098
Msx1,Msx1,-1.54230913173772
Arxes2,Arxes2,-1.54683534956272
Tenm4,Tenm4,-1.55643862852299
Mog,Mog,-1.5768078539344201
Rhobtb3,Rhobtb3,-1.58666365178498
C1ql1,C1ql1,-1.5969403721536002
Pamr1,Pamr1,-1.60192896072359
Reep1,Reep1,-1.6362255269464299
Tnfaip6,Tnfaip6,-1.64079640893523
Nsg2,Nsg2,-1.65000919425266
Shisa9,Shisa9,-1.65609422886204
Tspan6,Tspan6,-1.6599739365803399
Bgn,Bgn,-1.6632365617768503
Rfx3,Rfx3,-1.6959162368896201
Phgdh,Phgdh,-1.70222422718767
Emg1,Emg1,-1.70319202148702
Ten1,Ten1,-1.70598158522318
Fam126a,Fam126a,-1.7205697107661102
Dhrs7,Dhrs7,-1.73328289398949
Exd2,Exd2,-1.7982000668636102
Ppp1r3g,Ppp1r3g,-1.81536893998912
Vldlr,Vldlr,-1.83026057068571
Mlh3,Mlh3,-1.86522921547867
Ccp110,Ccp110,-1.9543488095059198
Arxes1,Arxes1,-1.9729193233008
Bcs1l,Bcs1l,-1.9736724740943798
Rdh5,Rdh5,-2.02640501097053
Fuom,Fuom,-2.05038049051225
Lpar1,Lpar1,-2.07186156618779
Rtn2,Rtn2,-2.1130179131002502
Cidea,Cidea,-2.15820148811373
Tmem86a,Tmem86a,-2.20436365805483
Echdc3,Echdc3,-2.25725929885458
Col1a1,Col1a1,-2.3054093532109503
Dctd,Dctd,-2.30823656137545
Tagln3,Tagln3,-2.4309624762215
Gdf10,Gdf10,-2.56276360282543
Aplnr,Aplnr,-2.5727077075754
Nrep,Nrep,-2.6881850550543906
Tnr,Tnr,-2.72894678775269
Clec3b,Clec3b,-2.98816998754897
Myoc,Myoc,-4.49364498904709
Arl5c,Arl5c,-6.26012003149994
Hjurp,Hjurp,-6.716217044168861
Fam92b,Fam92b,-7.706482217935609
Sycp3,Sycp3,-8.34677266298744
Pmp2,Pmp2,-11.2308298041762
Senp8,Senp8,-12.1880133888886
Rdh12,Rdh12,-12.2258128239326
