Gene.Symbol,Refseq_ID,logFC
Slc43a3,Slc43a3,1.78217639643375
Golga4,Golga4,1.77745677248444
Ifitm3,Ifitm3,1.77155311001681
Eif2ak2,Eif2ak2,1.7500485491951998
Plce1,Plce1,1.74976098876124
Slc39a10,Slc39a10,1.7478353560352502
Synpo,Synpo,1.7448163142909199
Tle1,Tle1,1.73221570133418
H2-d1,H2-d1,1.72429723363255
Ctxn1,Ctxn1,1.7241672787128899
Gap43,Gap43,1.7179717077344498
Flot1,Flot1,1.70713649521979
Bc005537,Bc005537,1.69992393330124
Kremen1,Kremen1,1.69404050316394
Cacna2d3,Cacna2d3,1.68341948083283
Zc3hav1,Zc3hav1,1.6832293486397703
1110008p14rik,1110008p14rik,1.6822105364412299
Tmsb4x,Tmsb4x,1.66124518294533
Ctsl,Ctsl,1.65724901625072
Slc25a34,Slc25a34,1.6557963088426102
Arpc1b,Arpc1b,1.65378200746984
Lrtm2,Lrtm2,1.6471692353573602
Nf2,Nf2,1.63555732440299
Lgals3bp,Lgals3bp,1.6247191173450601
Ppp1r15a,Ppp1r15a,1.62271128047169
Rph3a,Rph3a,1.6172622131102499
Fos,Fos,1.6103347880854197
Foxp4,Foxp4,1.6093098899423302
Kcnc3,Kcnc3,1.6039013103433701
Samd14,Samd14,1.5950711518504
Rarg,Rarg,1.5896519601641002
Nudt4,Nudt4,1.5890669491875402
Capg,Capg,1.5885472419440299
Sat1,Sat1,1.57876817107734
Dnm1,Dnm1,1.5726654814258603
Susd4,Susd4,1.56996760525403
Glipr2,Glipr2,1.5680251563313299
Arid5a,Arid5a,1.56224274291414
Bcl2l1,Bcl2l1,1.5618861859947801
Shisa5,Shisa5,1.5300860626164698
Hap1,Hap1,1.52078762141199
Brinp2,Brinp2,1.51811446981219
Ampd3,Ampd3,1.51640627372515
S100a11,S100a11,1.5094978955179599
Rpsa,Rpsa,1.4909730096201599
Srr,Srr,1.48865839728407
Akap2,Akap2,1.4782392098683899
Efr3b,Efr3b,1.4774575891864898
Zbtb16,Zbtb16,1.47192898027774
Fbxo31,Fbxo31,1.46063792234126
Sun2,Sun2,1.45851408150987
Cmpk2,Cmpk2,1.4537401632435802
Rgl1,Rgl1,1.44822724280793
Gse1,Gse1,1.43091706627244
Rnps1,Rnps1,1.43072835214461
Brd2,Brd2,1.4230071474082802
Smad1,Smad1,1.4221344289051399
Pnpla2,Pnpla2,1.41405562690097
Arl6ip4,Arl6ip4,1.41339455530913
Atf4,Atf4,1.41178457225921
Fyco1,Fyco1,1.4087858432436398
Bst2,Bst2,1.4086445932595801
Ahnak,Ahnak,1.40818445910047
Ppard,Ppard,1.4040314835772902
Sorbs1,Sorbs1,1.40303933420497
Stim1,Stim1,1.3939442068072798
Nln,Nln,1.3922084689071201
Kank1,Kank1,1.3839269021956297
I830012o16rik,Ifit3b,1.3815272397402
Vamp1,Vamp1,1.38004924444526
Capn5,Capn5,1.3720039275711498
Olfm1,Olfm1,1.36979073710215
Spen,Spen,1.3688554004161497
Stat3,Stat3,1.3668596545480298
Kctd10,Kctd10,1.36643155147213
Ifrd1,Ifrd1,1.3652250445024898
Hr,Hr,1.3640427069042098
Pnpo,Pnpo,1.3632176380754297
Ctdsp2,Ctdsp2,1.3611302084869599
Icosl,Icosl,1.35928357884735
Parp3,Parp3,1.3549365772855901
Pick1,Pick1,1.3514128803777399
Ypel3,Ypel3,1.3511870303540001
9-sep,9-sep,1.33856690564004
Spp1,Spp1,1.33828593513228
Myl12a,Myl12a,1.33596123294128
Ncmap,Ncmap,1.3262485371026398
Col16a1,Col16a1,1.31614010770213
Adam15,Adam15,1.3131145035368799
Zfp703,Zfp703,1.30958181956578
Fth1,Fth1,1.2992219928481599
Unc13a,Unc13a,1.2978895053918
Lgals3,Lgals3,1.2972872054254598
Ezr,Ezr,1.29677912069787
Slc6a8,Slc6a8,1.2876652166946598
Mrpl41,Mrpl41,1.28321981493693
Mapk4,Mapk4,1.28195474340807
Macf1,Macf1,1.27608075609776
Znfx1,Znfx1,1.27485166491218
Tead3,Tead3,1.2598427581448601
Zrsr1,Zrsr1,1.25762594342272
Rpl41,Rpl41,1.25426446843555
Tenc1,Tns2,1.25322206003601
2900097c17rik,2900097c17rik,1.24801985811977
Mbnl2,Mbnl2,1.24560276236385
Sncb,Sncb,1.2429071351387602
Tnfrsf1a,Tnfrsf1a,1.23743729810914
Gpx1,Gpx1,1.2358994690274399
Smox,Smox,1.23173231581473
Pcp4l1,Pcp4l1,1.22628842982447
Amotl2,Amotl2,1.21738244928516
Tshz1,Tshz1,1.2137144850324
Gab2,Gab2,1.21118454204615
Smg5,Smg5,1.2103863547425502
H2-k1,H2-k1,1.2100472582467499
Mobp,Mobp,1.20578510369054
Anxa7,Anxa7,1.20282293757731
Mt1,Mt1,1.18984683902556
Tbc1d9b,Tbc1d9b,1.17822251959841
Snapc2,Snapc2,1.16991598423527
1700084c01rik,Ccdc190,1.16792617210154
Camta1,Camta1,1.1611487488833898
S100a6,S100a6,1.15828363910433
Slc5a3,Slc5a3,1.1572861632324298
Itih5,Itih5,1.15468566325621
Mgat3,Mgat3,1.15403424239312
Kansl3,Kansl3,1.14557232492013
Eef2k,Eef2k,1.1378526910104099
Nr1h2,Nr1h2,1.1317868424498
Erf,Erf,1.12733848828168
Psmb10,Psmb10,1.12511111768917
Ppp1r1b,Ppp1r1b,1.12244890505221
Rras,Rras,1.12183888467259
8-mar,8-mar,1.1093333260326799
Capn2,Capn2,1.10347879209479
Erbb2ip,Erbin,1.0941365348985501
Slc4a8,Slc4a8,1.09078133376784
Etnppl,Etnppl,1.0905844769955
Cdc42se1,Cdc42se1,1.0875067012694999
Slc39a1,Slc39a1,1.08369169685003
Kif5c,Kif5c,1.08166567606978
Lamc1,Lamc1,1.07311905534781
Iqsec2,Iqsec2,1.0722092871829698
Rcan2,Rcan2,1.0575334342390301
Polr2m,Polr2m,1.0558857677631301
Midn,Midn,1.0501480363773499
Lgalsl,Lgalsl,1.0467598841144201
Vim,Vim,1.0428316025403699
Clip3,Clip3,1.04136871410127
Ifi27,Ifi27,1.0392774975849
Hip1,Hip1,1.03742483781375
Msn,Msn,1.03669094630982
Chil1,Chil1,1.02876722795263
Stat1,Stat1,1.0255748215943001
Mvp,Mvp,1.02406806848071
Bcl7a,Bcl7a,1.01344944822157
Usp54,Usp54,1.01275583888907
Gjb2,Gjb2,1.0125649340599598
Tspyl2,Tspyl2,1.01157851873912
Arhgef4,Arhgef4,1.0076706764687
Agap3,Agap3,1.00657490112112
Lrrc59,Lrrc59,1.00539694427957
Drp2,Drp2,0.998898292323446
Trim8,Trim8,0.997597965437188
Dlg5,Dlg5,0.989970317644924
Egln2,Egln2,0.985708466546784
Tpm3,Tpm3,0.9790701390366401
Plekhm2,Plekhm2,0.974881812391354
D8ertd738e,D8ertd738e,0.9710808899401752
Cherp,Cherp,0.9707963147082099
Tpt1,Tpt1,0.9653163820849999
Peg13,Peg13,0.961598556872005
Gfra1,Gfra1,0.961575595917075
Sel1l3,Sel1l3,0.953611967667825
Cyp2d22,Cyp2d22,0.952930217951832
Eif3f,Eif3f,0.9411786741913791
Iqsec1,Iqsec1,0.936916844056462
Dbndd2,Dbndd2,0.932035155605385
Gng12,Gng12,0.9278168881050859
Usp24,Usp24,0.9273680786847008
Kctd1,Kctd1,0.9257410429661441
Fam107a,Fam107a,0.9186015441403209
Ptp4a2,Ptp4a2,0.916138930499055
Ehd3,Ehd3,0.9142993826705609
Kcna1,Kcna1,0.9114389354585759
Map7d1,Map7d1,0.9089290993504621
Ptrf,Cavin1,0.90273928158199
Ip6k1,Ip6k1,0.897437566880025
Cadm3,Cadm3,0.895550273082557
Eef1a2,Eef1a2,0.891475641326672
Carhsp1,Carhsp1,0.891035902155907
Map1lc3b,Map1lc3b,0.887859371180114
Abl1,Abl1,0.886538509251417
Arhgap21,Arhgap21,0.8822939373645049
Sqstm1,Sqstm1,0.8808728670298259
Bag1,Bag1,0.8804687455045491
Myo18a,Myo18a,0.880037533952114
Ucp2,Ucp2,0.875178214922235
Pros1,Pros1,0.873338957220894
Cttn,Cttn,0.871884317253171
Wnk2,Wnk2,0.8673736606089599
C4b,C4b,0.8629294530656328
Slc22a4,Slc22a4,0.86291913322396
Tapbp,Tapbp,0.8629029076525558
Prrc2b,Prrc2b,0.8502239010214581
Ctage5,Mia2,0.8499464665512719
Stk25,Stk25,0.8464384043770179
Anapc16,Anapc16,0.8441643657575831
Triobp,Triobp,0.835743528587376
Mark3,Mark3,0.831399144860965
