term,genes
Gli1,Bcl2l1;Ccnd2;Cdkn1a;Cmpk2;Col1a1;Ezr;Hey2;Insig1;Nrep;Sox2;Spp1;Timp3;Tom1;Vim
Gmnn,Bmpr1a;Cdkn1a;Dusp4;Farp1;Macf1;Oasl2;Smad1;Sox2;Usp18;Wls
Gps2,Cdkn1a;Cxcl10;Rgl1;Shisa5;Slc44a1
Hdac1,Ampd3;Ccnd2;Cd34;Cdkn1a;Col1a1;Fam107a;Fos;Gabarapl1;Lcn2;Mpz;Mt1;Sox2;Spp1;Sqstm1;Stat3;Tgm2;Vhl
Hdac3,Cd34;Cdkn1a;Cxcl10;Enpp2;Fos;Hdac2;Icam1;Me1;Spp1;Usp18;Vim
Hdac4,Angptl4;Cdkn1a;Etnppl;Fos;Gpm6a;Hdac2;Ntm;Pcp4l1;Tnfrsf12a;Tspan7
Hif1a,Adam15;Adamts1;Angptl4;Apln;Aqp4;Bcl2l1;Bgn;Cdkn1a;Cxcl12;Cyr61;Ednrb;Eif4g1;Ergic1;Fos;Gadd45b;Gja1;Hspb1;Lgals1;Maff;Mcl1;P4ha1;Pfkl;Plod2;Socs3;Stat3;Vim
Hif3a,Apln;Sox2;Stat3
Hmga1,Alpl;Ccnd2;Col1a1;Col4a2;Cyr61;Dhcr7;Fos;Igfbp4;Insig1;Junb;Mvk;Nf2;Stat3;Zyx
Hnf4a,Agpat1;Ahnak;Akap13;Aldh1l1;Amt;Apoh;Atf4;Bcl2l1;Bcs1l;C4b;Ccnh;Ccp110;Cdkn1a;Cebpd;Chchd3;Cherp;Cp;Cstf2t;Dbp;Ddost;Dhrs7b;E2f5;Egln2;Ehd3;Eif4g1;Emg1;Etnppl;Fbxo31;Fkbp3;Flot1;Fth1;Fuz;Fxyd6;Fyco1;G6pc3;Gadd45b;Gjb2;Golga4;Gpx1;Junb;Kcnc3;Laptm4a;Lcn2;Lgals3;Lsr;Mat2a;Msn;Msrb1;Mt1;Nf2;Nln;Nr1h2;Osmr;Pigs;Pnpo;Ppard;Psat1;Ptprn;Rab33b;Rarg;Rpl41;Rsad2;Sbno2;Sertad3;Sgce;Shisa5;Slc25a18;Slc25a5;Slc39a1;Slc44a1;Slc5a3;Spcs2;Spp1;Srr;Stard7;Stat1;Stim1;Synpo;Tceal3;Tead3;Tenm4;Timp3;Tmem140;Tmem176a;Tmem176b;Tmem33;Tmem59;Tmx2;Tnfaip6;Tom1;Tubb4a;Ucp2;Vdac2;Ypel3
Hoxa10,Alpl;Cdkn1a;Cherp;Cybb;Dbp;Enpp2;Fkbp3;Gja1;Hlf;Idh2;Lcn2;Me1;Msn;Mylk;Phgdh;Prkcd;Pros1;Sat1;Thrsp
Hoxa5,Cdkn1a;Gadd45b;Ptn;Sat1
Htt,Atl2;Bcl3;Cacna2d3;Cdkn1a;Cnr1;Col16a1;Col4a2;Cttn;Cyc1;Dbp;Dhcr7;Dnm1;Eci1;Ednrb;Eef1a1;Enpp2;Etnppl;Fabp7;Fgfr1;Fos;Fxyd6;Gap43;Gnb5;Gpx3;Gria1;Hap1;Junb;Kcna1;Kcnc3;Mobp;Mprip;Mt1;Ndufa11;Ndufs7;Nrep;Nsg2;Ppard;Ppp1r1a;Ppp1r1b;Prkcd;Psmb8;Rph3a;Serping1;Sirpa;Spp1;Sqstm1;Tagln3;Tgm2;Thrsp;Timp3;Tuba4a
Id1,Bcl2l1;Cdkn1a;Icam1;Sox2;Vim
Id2,Bcl2l1;Bcl3;Ccnd2;Cdkn1a;Dusp4;G6pc3;Gadd45b;Icam1;Mpz;Socs3;Tnfrsf1a;Zbtb16
Id3,Bcl2l1;Bcl3;Ccnd2;Cdkn1a;Dusp4;G6pc3;Gadd45b;Icam1;Socs3;Tnfrsf1a;Zbtb16
Ikzf2,Icam1;Irf1;Irf7;Zbtb42
Ing1,Angptl4;Cdkn1a;Cttn;Eps15;Spp1;Tppp;Tpt1
Irf1,Cdkn1a;Cxcl10;Cybb;Eif2ak2;Gbp2;Ifi47;Ifit2;Ifit3;Ifitm3;Irf1;Irf7;Irf9;Psmb10;Psmb8;Rsad2;Stat1;Stat3;Tapbp;Xaf1
Irf2,Cd14;Cdkn1a;Cxcl10;Eif2ak2;Ifi47;Irf1;Irf7;Lcn2;Psmb10;Psmb8;Tapbp;Usp18
Irf3,Ahnak;Bst2;Cmpk2;Cxcl10;Eif2ak2;Gbp5;Ifi47;Ifit2;Ifit3;Ifitm3;Igtp;Irf1;Irf7;Irgm1;Junb;Lcn2;Oasl2;Rsad2;Stat1;Timp3;Usp18;Vim;Zc3hav1
Irf5,Cdkn1a;Cmpk2;Col1a1;Cxcl10;Ifit2;Ifit3;Ifitm3;Irf7;Oasl2;Rsad2;Stat1;Ywhae
Irf7,Atf4;Bcl2l1;Cmpk2;Cxcl10;Gbp5;Ifi47;Ifit2;Ifit3;Ifitm3;Igtp;Irf1;Irf7;Irf9;Irgm1;Mcl1;Oasl2;Psmb10;Psmb8;Rsad2;Rtp4;Stat1;Usp18;Xaf1;Zc3hav1
Irf9,Cxcl10;Ifit2;Ifit3;Ifitm3;Irf1;Irf7;Socs3;Stat1
