term,genes
Tfe3,Cidea;Insig1;Ndufv2;Pnpla2;Thrsp
Tle1,Fos;Mcl1;Nupr1
Tob1,Amotl2;Bcl2l1;Cdkn1a;Hjurp;Mbnl2;Snrk
Tp53,Ak4;Amotl2;Anapc4;Arhgap5;Arhgef4;Arl6ip1;Arpc1b;Asxl1;Atf4;Bag1;Bcl2l1;Bcl3;Camk2n1;Carhsp1;Ccnd2;Cdkn1a;Cebpd;Cnn3;Col1a1;Col4a2;Cox5a;Cp;Cxcl10;Cxcl12;Cyr61;Dbi;Dbp;Dhcr7;Dusp4;E2f5;Eef1a1;Eif4g3;Enpp2;Erf;Ezr;Fgfr1;Fkbp3;Fkbp5;Fos;Fth1;Gadd45b;Gja1;Gnai2;Golga4;Gpd1;Gpx1;Gpx3;Hadh;Hdac2;Hjurp;Hspb1;Icam1;Idh2;Igfbp4;Irf7;Irf9;Junb;Laptm4a;Lgals3;Mapk3;Mapk4;Mbnl2;Mcl1;Me1;Msrb1;Mvk;Mvp;Myo1c;Myo6;Nap1l1;Nupr1;P4ha1;Padi2;Phgdh;Plod2;Pltp;Pmm1;Ppard;Prdx2;Prkag2;Ptn;Ptprn;Qdpr;Rbm3;Rpsa;Sat1;Sdhc;Serping1;Shisa5;Slc5a3;Snrk;Sorbs1;Sox2;Spcs2;Spp1;Sqle;Stat1;Stat3;Steap3;Taldo1;Tgm2;Timp1;Timp3;Tinagl1;Tmsb4x;Tnfrsf1a;Tom1;Tspan6;Tubb4a;Vim;Vldlr;Xaf1;Ypel3;Zyx
Tp73,Angptl4;Arl5c;Cdkn1a;Cldn10;Cnn3;Col1a1;Cxcl10;Cyr61;Dbp;Gab2;Idh2;Igfbp4;Laptm4a;Lrg1;Mdk;Nupr1;Prkag2;Sat1;Serping1;Shisa5;Smo;Snrk;Spp1;Timp1;Timp3;Tnfrsf12a;Tnfrsf1a;Tspyl1
Trim24,Bst2;Cmpk2;Cxcl10;Gbp2;Ifi47;Ifit2;Ifit3;Igtp;Iigp1;Irf1;Irf7;Irf9;Irgm1;Lgals3;Lgals3bp;Psmb10;Psmb8;Rtp4;Shisa5;Spp1;Stat1;Usp18
Twist1,Adamts1;Apod;Cdkn1a;Col1a1;Cxcl12;Dnm1;Fos;Frem2;Igfbp4;Lrg1;Olfml3;Pamr1;Spp1;Timp3;Vim;Zyx
Usf2,Apln;Lgals3bp;P4ha1;Spp1;Thrsp;Ucp2
Vhl,Ahcyl1;Atf4;Bcl2l1;Cdkn1a;Cxcl12;Fth1;Gpx1;Ifitm3;Nrep;Rhof;Vim
Wwtr1,Col1a1;Cyr61;Gja1;Icam1;Negr1;Nf2;Spp1
Xbp1,Atf4;Calr;Ddost;Erp29;Golga4;Icam1;Map1lc3b;Rab33b;S100a6;S1pr1;Spcs2;Txndc5;Wfs1
Yap1,Amotl2;Bcl2l1;Cdkn1a;Cyr61;Fos;Icam1;Negr1;Nf2;Nupr1;Sox2;Vim
Zbtb16,Cd14;Cd34;Cdkn1a;Col1a1;Cxcl10;Eif2ak2;Nfkbiz;Rarg;Spp1;Tmem176b;Zbtb16
Znf148,Bcl2l1;Cdkn1a;Stat1;Vim
