term,genes
Foxa2,Steap3;Ahcyl1;Plxnd1;Ndufa11;Tmem140;Mylk;Tgm1;Fads3;Ndst1;Samd14;Fth1;Capn5;Kif5a;Tom1;Capn2;Enpp2;Plce1;Synpo;Junb;Cavin1;Kpna3;Tgm2;Tle1;Mbnl2;Igfbp4;Stard7;Cacna2d3;Kctd1;Foxp4;Tmem135;Carhsp1;Stim1;Mia2;Crispld2;Cd109;Sbds;Cmpk2;Nupr1;Ezr;Sqstm1;Macf1;Pdxdc1;Sdc2;Tshz1;Rhobtb3;Zc3hav1;Coro1c;Rras;Apoh;Camta1;Mbp;Cd14;Slc38a3;Pltp;Ralgds;Snx5;Txndc5;Mcl1;Iqsec1;Cp;Fbxo31;Ptprd;Qdpr;Mfhas1;G6pc3;Ppp1r1a;Dlg5;Ppp1r1b;Plekhm2;Echdc3;Mafk;Fat3;Nf2;Rgl1;Sfxn5;Bcl2l1;Itm2c;Cdkn1a;Tinagl1;Hip1;Slc44a1;Etfb;Arhgap5;Mrpl41;Sgce;Akap13;Trim9;Eef2k;Hey2;Myo18a;Anxa7;Tead3;Brd2;Slc13a3;Pllp;Kremen1;Ndufc2;Tmc7;Lsr;Emp2;Gab2;Slc39a14;Ctdsp2;Cd302;Angptl4;Ergic3;Irf9;Ergic1;Ppard;Agpat5;Kank1;Mvk;Naxd;Hlf;Ahnak;Lrp1;Atl2;Capg;Rnf7;Tns2;Usp18;Lmf1;Tm9sf3;Ablim2;Ucp2;Lrig1;Cdc37l1;Eps15;Usp24;Farp1;Stat1;Sorbs1;Sgpp1;Mlh3;Asxl1;Tmem59;Znfx1;Psat1;Chpt1;Ttll9
Foxh1,Synm;Rarg;8-mar;Frmpd1;Ece2;Fnbp1l;Cyr61;Ifit3;Ppp1r9b;Rbm3;Gja1;Samd14;Kif5c;Senp8;Nfkbiz;Adora1;Anxa7;Plce1;A4galt;Cavin1;Paqr8;Paqr6;Tpi1;Tspyl1;Myoc;Gpx3;Fbxo2;Bgn;Foxp4;Slc39a14;Dnm1;Tnfrsf1a;Erbin;Adam15;Map7d1;S100a6;Cmpk2;Cdc42ep1;Hap1;Angptl4;Ergic1;Vgll3;Ppard;Itih5;Lrp1;Rhobtb3;Gdpd2;Slc1a4;Hdac7;Tm9sf3;Ptdss1;Galr3;Bag1;Lrig1;Pnpo;Apod;Tmem86a;Cadm3;Mtx1;Stat1;Fus;Cidea;Eif2ak2;Coq7;Efr3b;Sgpp1;Tmco1;Hinfp;Stxbp5l;Slc4a8;Marco;Dbndd2;Cops6;Clcf1;Spry2;Alpl;Plekhm2;Fcgr2b;Cdo1;Fgfr1;Lgals3bp;Ahcyl1;Tinagl1;Prkag1;Hrct1;Hr;Vldlr;Etfb;Slc7a10;Bcl7a;Sirpa;Pamr1;Kpna3;Tspyl2;Entpd6;Kctd1;Lsr;Rpsa;Ampd3;Neat1;Clip3;Eef1a1;Gap43;Carhsp1;Crispld2;Fez1;Irf1;Pmp2;Mxra7;Frem2;Mgll;Fkbp5;Gpm6a;Exd2;Kank1;Hlf;Usp54;Tshz1;Atl2;Agap3;Gnai2;Fam129b;Rida;Clec3b;Sv2b;Dhrs7b;Mbp;Slc38a3;Mapk4;Hhatl;Gadd45b;Smox;Fbxo31;Dhrs7;Wnk2;Sfxn1;Nf2;Eif4g3
Foxm1,Slc35b2;Midn;Ahcyl1;Prkag2;Hspb1;Lamc1;Slc7a10;Arhgap5;Smg5;Nudt4;Lgals3;Fads2;Laptm4a;Eef2k;Hey2;Capn2;Enpp2;Hadh;Tspyl2;Brd2;Mamstr;Pllp;Kremen1;Cacna2d3;Kctd1;Tmc7;Lsr;Foxp4;Neat1;Dctd;Ptp4a2;Gap43;Smo;Cd109;Erf;Cmpk2;Cdc42ep1;Fam92b;Ezr;Sqstm1;Fkbp5;Slc22a4;Exd2;Atl2;Lpar1;Cnn3;Socs3;Sertad3;Mat2a;Dhrs7b;Tmem205;Myo6;Them4;Tspan3;Eps15;Mapk4;Usp24;Spen;Slc14a2;Gadd45b;Stat1;Zbtb16;Mboat2;Sorbs1;Tmco1;Fbxo31;Dbndd2;Marcks;Ehd3;Cxcl12;Reep3;Bcl3;Echdc3;Calm3;Vim;Calm1;Steap4;Slc44a1;Plxnd1;Arl6ip1;Hjurp;Plod2;Atp5g1;Cyr61;Rlbp1;Sox2;Akap13;Bcl7a;Nfkbiz;Efhd1;Plce1;Tle1;Commd10;Entpd6;Irak3;Emp2;Ampd3;Tmem135;Frem2;Ppard;Cdc42se1;Macf1;Hdac2;Luzp2;Usp54;Insig1;Lrtm2;Amigo2;Akap2;Fam129b;Arhgap21;Ptdss1;Mustn1;Apoh;Lrig1;S100a11;Cp;Asxl1;Sccpdh;Dlg5;Mafk;Amotl2;Nf2;Hspb6;Arpc1b;Cstf2t;Trim8;Dbp;Lgals1;Fth1;Ucp2;Flot1;Snx5;Sun2;Nr1h2;Tnk2;Stat3;Fos;Osmr;Coq7;Eif1;Mob4;Cops6;Tmx2;Tst;Rdh5;Polr3h
Foxo1,Ndufa13;Sat1;Txndc16;Icam1;Fads2;Retreg2;Samd14;Lgals9;Tgm2;Il13ra1;Paqr8;Gbp5;Paqr7;Tpm3;Entpd6;Ifrd1;Arid5a;Omg;Stim1;Kctd10;S100a6;Scg5;Ezr;Sqstm1;H2-d1;Socs3;Arhgap21;Emg1;Bag1;Fam241a;Gse1;Mbp;Ralgds;S100a11;Mcl1;Iqsec2;Wfs1;Tnk2;Msn;Col1a1;Mfhas1;Bc005537;Ehd3;Nsg2;Stk25;Mafk;Calm1;Lgals3bp;Synm;Rarg;Hspb1;Ppp1r9b;Trim8;Map1lc3b;Arl5c;Psd2;Tmsb4x;Nfkbiz;Flot1;Myo18a;Phgdh;Cic;Cd34;Oasl2;Dusp4;Brd2;Tpi1;Bgn;Kremen1;Slc39a10;Rhof;Fos;Slc39a14;Rab33b;Cttn;Irf1;Ahnak;Lrp1;Zbtb42;Capg;Akap2;Hdac7;Gnai2;Fam129b;Ablim2;Mat2a;Ucp2;S1pr1;Lrig1;Stat1;Pcp4l1;Smox;Apln;Marcks;Znfx1;Clcf1;Zyx;Ramp1;Tpt1;Atp6v1a;Aldh1l1;Midn;Cuedc2;Zbtb16;Tecr;Atl2;Tmem140;Arhgap5;Eif1;Ppp1r3g;Dner;Atoh8;Aspg;Sc5d;Dhcr7;Mgll;Ntsr2
Foxo3,Slc35b2;Cdkn1a;Gt(rosa)26sor;Eci1;Hjurp;Apip;Lgalsl;Lamc1;Txndc15;1700025g04rik;Tmem147;Snapc2;Mpz;Me1;A730017l22rik;D8ertd738e;Igfbp4;Shisa5;Kremen1;Sdhc;2210016f16rik;Foxp4;Ptgr2;Rab33b;Eef1a1;4930402h24rik;Ndufs7;Irf1;Igtp;Anapc4;Vamp1;Cmpk2;Vdac2;Fkbp3;H2-d1;Lxn;Naxd;Tbc1d9b;H2-q4;Cstf2t;Rnf7;Emg1;Epb41l4aos;Mat2a;Myo6;1110051m20rik;Tspan4;Ctnna1;Cdc37l1;Them4;Fmc1;Ndufv2;Usp24;Mtx1;Smox;Fus;Vta1;Idh2;Cidea;Mlh3;Psmb8;Tmco1;Cherp;Hinfp;Mob4;Tmem59;Spcs2;Sccpdh;Kansl3;Maff;Calm3;Tmem9b;Tpt1;Hdac2;Hip1;Ahnak;Pros1;Amigo2;Cltb;Hspb1;Agap3;Fnbp1l;Tmem140;Larp1b;Cyr61;Akap2;Hdac7;Fam129b;Capn2;S1pr1;Enpp2;Ip6k1;Ralgds;Fuz;Ampd3;Pfkl;Ppa2;Adi1;Reep3;Ctdsp2;Dlg5;Dhcr7;Mgll;Bcl2l1
Foxp1,Ifitm3;Rpl4;Slc35b2;Ndufa13;Midn;Ahcyl1;Frmpd1;Eci1;Sat1;Nudt4;Fads2;Samd14;Chchd3;Lgals1;Fnta;Mpz;Adora1;Tnr;Arl6ip4;Slc39a1;Kpna3;Il13ra1;Stard7;Fbxo2;Taldo1;Sdhc;Fndc5;Dctd;Eef1a1;Rnf126;Tmem135;Smo;Adam15;Stim1;Map7d1;Gpd1;Aplnr;S100a6;Anapc4;Ctxn1;Sqstm1;Fkbp3;Atf4;Cdc42se1;Rtn2;Atp6v1a;Exd2;Mtmr3;Ndufb10;Pdxdc1;Anapc16;Myl12a;Socs3;Ldha;Galr3;Myo6;Tspan4;Cyc1;Ndufv2;Ntsr2;Cadm3;Rpl41;Gadd45b;Vta1;Ephx2;Tnk2;Fuz;Coq7;Fbxo31;Qdpr;Col1a1;Sqle;Cops6;Ehd3;Cxcl12;G6pc3;Ppp1r1a;Stk25;Adi1;Col5a3;Ppp1r1b;Maff;Alpl;Mafk;Amotl2;Rnps1;Nit1;Calm1;Eif4g3;Ywhae;Synm;Rarg;Cuedc2;Slc44a1;Ptprn;Cltb;Prkag1;Hspb1;Atp5g1;Cyr61;Ppp1r9b;Trim8;Tmem47;Fyco1;Map1lc3b;Eef2k;Dbp;Mdk;Snapc2;Adamts1;Tmed2;Dusp4;Tsc22d4;Parp3;Tpi1;Tnfrsf12a;Pllp;Metrn;Ndufc2;Tmc7;Lsr;Rhof;Fos;Tnfrsf1a;Erbin;Ptp4a2;Gap43;Ndufs7;Irf1;Aspg;Hacd3;Hap1;Ppard;Ahnak;Rnf7;Agpat1;Usp18;Cox5a;Gnai2;Fam129b;Srr;Clec3b;Ablim2;Asna1;Tmem205;Spp1;Cdc37l1;Lrrc8a;Spen;Egln2;Mtx1;Stat1;Haghl;Nap1l1;Efr3b;Asxl1;Pfkl;Marcks;Znfx1;Psat1;Spry2;Thrsp;Polr3h;Ypel3
Foxp2,Slc22a4;Mtch1;Aldh1l1;Ahnak;Eci1;Prkag2;Agap3;Tm9sf3;Eef2k;Man2a2;Btbd1;Fnta;Fth1;Hey2;Cyc1;Cic;Ndufv2;Pltp;Ralgds;Tgm2;Tead3;Dusp4;Tsc22d4;Sun2;Smox;Prkcd;Stat3;Foxp4;Cp;Tnfrsf1a;Ptp4a2;Spcs2;Cxcl12;Gsta4;Ctdsp2;Bcl3;Aspg;Spry2;Arhgef4;Cdc42ep1;Mafk;Sfxn1;Fkbp9;Nupr1;Sqstm1;Fkbp5;Ywhae;Gpm6a;Gstt3;Cstf2t;Fnbp1l;Cyr61;Rida;Lgals3;Laptm4a;Ednrb;Mpz;Bag1;Enpp2;Tmed2;Qk;Mapk4;Mapk3;Slc13a3;Paqr7;Negr1;Col23a1;Slc39a10;Rpsa;Ampd3;Dnm1;P4ha1;Ppp1r1b;Rhoj;Pmp2;Thrsp
Foxp3,Cuedc2;Arl6ip1;Ccnh;Hjurp;Ece2;Tmem140;Ppp1r9b;Akap13;Golga4;Dbp;Fnta;Nfkbiz;Tmed2;Tsc22d4;Ndufc2;Rfx3;Fos;Foxp4;Tuba4a;Tnfrsf1a;Rab33b;Eef1a1;Adam15;Ndufs7;Sbds;Fkbp3;Hdac2;Pdxdc1;Lman2l;Tshz1;Atl2;Cstf2t;Myl12a;Emg1;Ptdss1;Asna1;Tmem205;Tspan4;Pnpo;Them4;Lrrc8a;Eps15;Snx5;Gadd45b;Fus;Nr1h2;Fuz;Tmco1;Eif1;Rnps1;Eif3f;Sfxn5;Asxl1;Sgce;Gbp5;Reep3;Lrig1;Ggta1;Fbln5;Ifit3;Amot
Fus,Usp24;Brd2;Hdac2;Atl2;Apip;Gng12;Fam126a;Cyr61;Eef1a1;Tmem135;Gja1;Mat2a;Spry2;Eif4g3;Hmgn1
Gabp,Midn;Slc44a1;Arl6ip1;Kcnc3;Prkag1;Tgm1;Retreg2;Mpz;Myo18a;Map3k6;Cic;Junb;Hmgn1;Chid1;Brd2;Slc13a3;Endog;Unc13a;Stard7;Tpm3;Entpd6;Slc39a10;Ndufc2;Rfx3;Lsr;Urb1;Ptgr2;Ddost;Asrgl1;Tapbp;Ppa2;Cttn;Ndufs7;Mia2;Kctd10;Gpd1;Vdac2;Pick1;Ergic3;Agpat5;Naxd;Pdxdc1;Capg;Agpat1;Gnai2;Tm9sf3;Sbno2;Dhrs7b;Btbd3;Cdc37l1;Them4;Tspan3;Mark3;Txndc5;Spen;Rpl41;Stat1;Nr1h2;Vta1;Coq7;Mlh3;Cherp;Fbxo31;Eif1;Asxl1;Snrk;Znfx1;Stk25;Adi1;Ppp1r1b;Polr3h;Rnps1;Dhcr7;Ttll9;Bcl2l1;Eif4g1
Gata1,Ifitm3;Ccnh;Pros1;Fnbp1l;Ifit3;Nudt4;Ifit2;Tgm1;Ndst1;Fads2;Golga4;Fth1;Capn2;Tnr;Plce1;Junb;Chid1;Gbp5;Rsad2;Col23a1;Ifrd1;Cacna2d3;Asrgl1;Dctd;Eef1a1;Ppa2;Stim1;Col4a2;Crispld2;Cd109;Cmpk2;Rtn2;Macf1;Mtmr3;Pdxdc1;Insig1;Ntm;Rhobtb3;Socs3;Emg1;Man2a2;Abl1;Them4;Camta1;Mbp;Cd14;Pltp;Ralgds;Mark3;Txndc5;Ntsr2;Cadm3;Slc14a2;Zbtb16;Tnk2;Idh2;Gng12;Coq7;Ptprd;Fat3;Sfxn1;Gnb5;Calm1;Sfxn5;Tmem9b;Ywhae;Lgals3bp;Cdkn1a;Tinagl1;Slc44a1;Prkag2;Smg5;Triobp;Ppp1r9b;Dner;Nfkbiz;Cic;Cd34;Gpx1;Pllp;Ndufc2;Rhof;Ampd3;Fos;Fam126a;Ddost;Rab33b;Cldn10;Ptp4a2;Tmem35a;Cd302;Mgll;Ppp1r15a;Agpat5;Mvk;Lrp1;Atl2;Adcy2;Usp18;Cox5a;Olfml3;Mgat3;S1pr1;Ctnna1;Msx1;Eps15;Spen;Smox;Cmtm5;Stat3;Sorbs1;Dhrs1;Efr3b;Mlh3;Slc4a8;Nfasc;Znfx1;Myo1c;Gsta4;Chpt1;Ramp1;Mtch1;8-mar;Plxnd1;Apip;Prkag1;Hrct1;Tmem140;Atp5g1;Ggta1;Amot;Trim8;Retreg2;Map1lc3b;Samd14;Laptm4a;Arl5c;Lgals1;Glipr2;Tmsb4x;Capn5;Myo18a;Lgals9;Hadh;Map3k6;Tgm2;Paqr7;Igfbp4;Mamstr;Taldo1;2210016f16rik;Neat1;Rnf126;4930402h24rik;Ndufs7;Gpd1;Erp29;Tmem9;Nupr1;Ezr;Irf9;Atf4;Tbc1d9b;Slc43a3;Lrtm2;Agap3;Tspan33;Akap2;Tspan31;Lmf1;Ldha;Mat2a;Tmem205;Cdc37l1;Smyd1;Gse1;Lrrc8a;Mcl1;Zrsr1;Rpl41;Gadd45b;Pmm1;Nr1h2;Irgm1;Ifi47;Nipsnap2;Psmb8;Tmco1;Eif1;Asxl1;Pfkl;Dhrs7;Ehd3;Stk25;Bcl3;Steap3;Cuedc2;Frmpd1;Icam1;Mylk;Akap13;Trim9;1700025g04rik;Eef2k;Ctsl;Phgdh;Pgm5;Gfra1;Gab2;Tapbp;Fndc5;Tst;Kctd10;S100a6;Vdac2;Ank;Cdc42se1;Slc22a4;Ddc;Ahnak;Zc3hav1;Prdx2;1110051m20rik;Fam241a;Pnpo;Smad1;Mboat2;Mt1;Def8;P4ha1;Psat1;Col5a3;Zyx;Mafk;Dhcr7;Rgl1;Bcl2l1;Pygb;Hip1;Arl6ip1;Aqp4;Arhgap5;Larp1b;Rph3a;Endou;Bcl7a;Kpna3;Mbnl2;Amt;C1ql1;Gprc5b;Aspg;Serping1;Fam92b;Ergic1;Gpm6a;Amigo2;Hdac7;Coro1c;Nln;Cnr1;Atoh8;Apod;Iqsec1;Pcp4l1;Nap1l1;Marcks;Reep5;Wnk2;Rcan2;Echdc3;Eif4g3;Slc1a4;Slc5a3;Fads3;Tspan7;Ndufv2;Col1a1;Tmem135;Cdc42ep1;Chst2;Reep1;Smo;Zfp869;Rasgrf2
Gata2,H2-t23;Cdkn1a;Steap3;Aldh1l1;Rarg;Tinagl1;Hjurp;Etfb;Fnbp1l;Ggta1;Ppp1r9b;Lgals3;1700025g04rik;Samd14;Lgals1;Glipr2;Tmsb4x;Adamtsl2;Myo18a;Map3k6;Cic;Cd34;Oasl1;Hmgn1;Dusp4;Brd2;Paqr7;Unc13a;Igfbp4;Slc30a1;Irak3;Gfra1;Neat1;Tuba4a;Tnfrsf1a;Fndc5;4930402h24rik;Tmem135;Ppa2;Kctd10;Serping1;Cdc42ep1;Tmem9;Nupr1;Hap1;Fkbp3;Irf9;Ank;Fkbp5;Ddc;Naxd;Tbc1d9b;Insig1;Tshz1;Atl2;Zbtb42;Akap2;Lmf1;Mobp;S1pr1;Tspan4;Mapk4;Zrsr1;Btbd17;Zbtb16;Stat3;Def8;Tmco1;Bst2;Slc4a8;Nfasc;Stk25;Bcl3;Zyx;Calr;Ramp1;Ypel3;Bcl2l1;Itm2c;Rnf10;Hip1;Arl6ip1;Apip;Rlbp1;Nudt4;Tgm1;Fads3;Ndst1;Fads2;Golga4;Eef2k;Fth1;Kif5a;Capn2;Tnr;Timp3;Synpo;Junb;Tgm2;Slc13a3;Gpx1;Rsad2;Pllp;Col23a1;Slc39a10;Ampd3;Fos;Rab33b;Eef1a1;Ptp4a2;Stim1;Cttn;Crispld2;Cmpk2;Fam92b;Ezr;Chst2;Ergic1;Ppard;Ppp1r15a;Macf1;Hlf;Ahnak;Usp54;Rhobtb3;Slc1a4;Zc3hav1;Tspan33;Slc5a3;Coro1c;Mat2a;Man2a2;Cnr1;Dhrs7b;Tspan7;Mgat3;Nrip3;Cd14;Flnc;Tppp;Ndufv2;Eps15;Mark3;Snx5;S100a11;Txndc5;Iqsec2;Iqsec1;Ephx2;Idh2;Sorbs1;Cp;Col1a1;Myo1c;Dlg5;Chpt1;Mafk;Dbi;Hr;Txndc15;Ifit2;Psd2;Chid1;Paqr8;Stard7;Entpd5;Kremen1;Rfx3;Fam126a;Ptgr2;Clip3;Cldn10;Plin4;Mgll;Ntm;Capg;Agap3;Hdac7;Socs3;Ablim2;Spp1;Apod;Sncb;Pltp;Spen;Gdf10;Cadm3;Dhrs1;Cherp;Cxcl12;Gsta4;Wnk2;Nf2;Calm1;Mtch1;Gt(rosa)26sor;Rasgrf2;Prkag1;2900097c17rik;Tmem140;Triobp;Trim8;Laptm4a;Cavin1;Oasl2;Sun2;1110008p14rik;Mamstr;Ndufc2;Gab2;Ifit3b;2210016f16rik;Ndufs7;Vdac2;Gas5;Frem2;Itih5;Zfp869;Fbln5;Tm9sf3;Rras;Btbd1;Rdh12;Ctnna1;Camta1;Smyd1;Rpl41;Irgm1;Nipsnap2;Eif1;Asxl1;Sccpdh;Slc6a8;G6pc3;Reep3;Maff;Rnps1;Xaf1;Ywhae;Midn;Ccnh;Arhgap5;Gja1;9-sep;Mprip;Hey2;Enpp2;Lgals9;Tspyl1;Gpx3;Ifrd1;Omg;Icosl;C1ql1;Ppp1r3g;Erbin;Rnf126;Gap43;Ctdsp2;Irf1;Aspg;Gria1;Lrrc59;Hdac2;Mtmr3;Lrp1;Anapc16;Gstt3;Nln;Sbno2;Gadd45b;Vta1;Mboat2;Nap1l1;Pfkl;Marcks;Dhrs7;P4ha1;Nsg2;Fabp7;9530068e07rik;Sycp3;Pdxdc1;Slc44a1;Vldlr;Myl12a;Akap13;Ccnd2;Lrrc8a;Mbp;Gbp2;Gabarapl1;Cd109
Gata3,Rnf10;Cdkn1a;Steap3;Tinagl1;Slc44a1;Kcnc3;Prkag2;Plod2;Ifit1;Atp5g1;Smg5;Trim8;Sox2;Akap13;Fth1;Capn5;Flot1;Capn2;Enpp2;Tle1;Atp6ap1;Rsad2;Igfbp4;Tpm3;Pllp;Arid5a;Shisa5;Slc39a10;Gfra1;Fos;Shisa9;Neat1;Fam126a;Ptgr2;Eef1a1;Ptp4a2;Cd109;Irf1;Eef1a2;Vdac2;Ctxn1;Frem2;Mgll;Irf9;Ppard;Ppp1r15a;Cdc42se1;Ahnak;Insig1;Amigo2;Lpar1;Rnf7;Cox5a;Akap2;Btbd1;Tmem205;Myo6;Them4;Tspan3;Gbp2;S100a11;Txndc5;Slc35a2;Tmem86a;Iqsec2;Tnk2;Idh2;Mboat2;Dhrs1;Efr3b;Apln;Bst2;Dhrs7;Sccpdh;Reep5;Reep3;Clcf1;Chpt1;Xaf1;Calm1;Itm2c;Arl6ip1;Ccnh;Rasgrf2;Tecr;Hspb1;Tmem140;Txndc15;Ifit3;Fads2;Ccnd2;Tmsb4x;Tom1;Phgdh;Slc13a3;Mbnl2;Ifrd1;Kremen1;Ampd3;Ddost;Fndc5;Clip3;Ppp1r3g;Tmem33;Crispld2;Ezr;Ergic1;Fkbp5;Mtmr3;Mvp;Atl2;Rhobtb3;Capg;Slc1a4;Agpat1;Slc5a3;Hdac7;Tm9sf3;Sertad3;Dhrs7b;Camta1;Gbp3;Stat1;Wfs1;Ephx2;Coq7;Mfhas1;Sqle;Marcks;Gsta4;Zyx;Vim;Calr;Nf2;Eif4g1;Pygb;Ahcyl1;Ptprn;Gt(rosa)26sor;Ncan;Cltb;Nudt4;Sgce;Map1lc3b;Golga4;Gja1;Adamts1;Senp8;Adamtsl2;1700086o06rik;Oasl2;Gpr179;Tspyl2;Dusp4;Gpx1;Tnfrsf12a;Prkcd;Entpd6;Amt;Ndufc2;Cybb;Gab2;Osmr;C1ql1;Carhsp1;Cdc42ep1;H2-d1;Tbc1d9b;Pla2g7;Tspan31;Mat2a;Man2a2;Galr3;Mustn1;Pnpo;Smyd1;Tppp;Vhl;Snx5;Hhatl;Rasl10b;Nr1h2;Fuz;Nipsnap2;Hinfp;Asxl1;Bc005537;Stk25;Maff;Mafk;Sfxn5;Slc35b2;Rph3a;Chchd3;Lgals1;Kif5a;Adora1;Lgals9;Synpo;D8ertd738e;Myoc;Irak3;Emp2;Bcs1l;Tuba4a;Erbin;Col4a2;Sbds;Igtp;Nupr1;Astn1;Gpm6a;Lman2l;Tns2;Fbln5;Nln;Lao1;Camk2n1;Asna1;Cdc37l1;Sc5d;Slc38a3;Ndufv2;Zrsr1;Smad1;C1ra;Tmem176a;Nap1l1;Sorbs1;Myo1c;G6pc3;Nsg2;Ppp1r1a;Lcn2;Alpl;Echdc3;Calm3;Ypel3;Etfb;Sat1;Ppp1r9b;Glipr2;Nfkbiz;A4galt;Cavin1;Kpna3;Chid1;Gabarapl1;Tspyl1;Entpd5;Col23a1;Rfx3;Gprc5b;Rcn2;Map7d1;Cmpk2;Chst2;Naxd;Pdxdc1;Socs3;Ablim2;Btbd3;4-sep;S1pr1;Lrig1;Adi1;Ywhae;Lamc1;Fyco1;Trim9;Myo18a;Tnr;Plce1;Paqr8;Stard7;Slc30a1;Foxp4;Slc25a5;Lxn;Olfml3;Ucp2;Nrip3;Usp24;Pmm1;Vta1;Eif2ak2;Tmco1;Gjb2;Ehd3;Bcl3;Bcl2l1;Bmpr1a;Col16a1;Hip1;Steap4;Hjurp;Hrct1;Kif5c;Cd34;Paqr7;Slc39a14;Asrgl1;Cttn;Kctd10;Ctdsp2;Anapc4;Fam92b;Cebpd;Usp54;Prdx2;Sv2b;Abl1;Ctnna1;Lrrc8a;Eps15;Mcl1;Nfasc;Wnk2;Thrsp;Slc25a34;Lgals3bp;Fnbp1l;Rlbp1;Dbp;Bcl7a;Mdk;Tpi1;Mamstr;Dnm1;Gap43;Smo;Stim1;Ifi27;Aspg;Hap1;Hlf;Lrtm2;Myl12a;Sbno2;Tspan6;Mbp;Cyc1;Iqsec1;Mlh3;Dlg5;Plekhm2;Fgfr1;Ddc;Cmtm5;Slc4a8;Lgals3;Junb;Oasl1;Tpt1
Gata4,Slc35b2;Steap3;Midn;Cuedc2;Hip1;Prkag1;Prkag2;Dbi;Etfb;Ece2;Arhgap5;Txndc15;Mylk;Ifit2;Trim8;1700025g04rik;Laptm4a;Arl5c;Bcl7a;Adamts1;Fth1;Nfkbiz;Myo18a;Tmed2;Timp3;Anxa7;Phgdh;Tgm2;Hmgn1;Tead3;Paqr7;Mbnl2;Igfbp4;Tpm3;Arid5a;Cacna2d3;Ampd3;Fos;Foxp4;Tuba4a;Rab33b;Tmem135;Crispld2;Ctdsp2;Eef1a2;Atf4;Fkbp5;Agpat5;Ddc;Slc43a3;Insig1;Lrtm2;Zfp503;Cstf2t;Agpat1;Man2a2;Btbd3;Atoh8;Lrig1;Tspan4;Them4;Nrip3;Gse1;Eps15;Zrsr1;Usp24;Stat1;Tmem176b;Tnk2;Tmem176a;Sorbs1;Def8;Bst2;Tmem59;Sqle;Snrk;Reep5;Stk25;Reep3;Rcan2;Calm3;Eif3f;Nf2;Rgl1;Calm1;Sfxn5;Ywhae;Tinagl1;Lamc1;Fnbp1l;Amot;Lgals3;Fnta;Capn2;Me1;Synpo;Pllp;Tmc7;Lsr;Rhof;Gab2;Osmr;Ptgr2;Slc39a14;Ddost;Rnf126;Padi2;Cmpk2;Vdac2;Cdc42ep1;Ppp1r15a;Itih5;Lrrc59;Hdac2;Pdxdc1;Atl2;Rhobtb3;Akap2;Cnn3;Mgat3;Apod;Tppp;Tspan3;Slc38a3;S100a11;Cp;Slc4a8;Marcks;Adi1;Fabp7;Plekhm2;Chpt1;Bmpr1a
Gata6,Cdkn1a;Rarg;Tinagl1;Tecr;Hjurp;Apip;Lamc1;Fnbp1l;Arhgap5;Smg5;Txndc16;Lgals3;Laptm4a;Mdk;Fth1;Capn2;Phgdh;Junb;Dusp4;Gabarapl1;Tle1;Tpm3;Pllp;Fbxo2;Prkcd;Cacna2d3;Ndufc2;Kctd1;Slc30a1;Rhof;Fos;Neat1;Slc39a14;Ddost;Eef1a1;Ptp4a2;Tmem135;Adam15;Cttn;Erp29;Padi2;Rdh5;Vdac2;Hacd3;Tmem9;Nupr1;Sqstm1;Frem2;Irf9;Ppp1r15a;Kank1;Ahnak;Mvp;Tshz1;Amigo2;Psmb10;Myl12a;Cnn3;Coro1c;Arhgap21;Nln;Ldha;Rdh12;Btbd3;Asna1;Myo6;Ucp2;Mgat3;Lrig1;Them4;Gbp2;Pltp;S100a11;Mapk3;Spen;Stat3;Nap1l1;Dhrs1;Eif1;Mfhas1;Snrk;Marcks;Dhrs7;Znfx1;Stk25;Plekhm2;Chpt1;Calm3;Vim;Calm1;Ypel3;Bcl2l1;Bmpr1a;Ahcyl1;Col16a1;Cyr61;Tnr;Map3k6;Cd34;Wls;Gbp5;Paqr6;Paqr7;Myoc;Sdhc;Fndc5;Map7d1;S100a6;Astn1;Itih5;Macf1;Cstf2t;Olfml3;Camk2n1;Susd4;S1pr1;Camta1;Eps15;Mcl1;Gbp3;Usp24;Cadm3;Negr1;Mtx1;Pcp4l1;Sorbs1;Gng12;Tmco1;Tmem59;Nfasc;Sccpdh;Cxcl12;Alpl;Echdc3;Fcgr2b;Slc25a34;Eif4g3;Mpz;Adora1;Reep3;Nit1
Gbx2,Gria1;Hlf;Cacna2d3;Ptn;Fbln5;Rida;Mylk;Ptprd;Eef1a1;P4ha1;Anxa7;Fat3;Frem2
Gf1,Rnf10;Aldh1l1;Synm;Ptprn;Frmpd1;Prkag1;Ifit3;C4b;Akap13;Fads2;Golga4;9-sep;Chchd3;Ccnd2;Adora1;Qk;Lgals9;A4galt;Synpo;Prkcd;Icosl;Fos;Neat1;Ddost;Gap43;Smo;Crispld2;Cd109;Aplnr;Cd302;Hap1;Fam92b;Itih5;Kank1;Ddc;Zfp869;Zfp503;Cstf2t;Slc1a4;Rnf7;Akap2;Gnai2;Coro1c;Socs3;Clec3b;Ablim2;Galr3;Apoh;Cdc37l1;Mbp;Def8;Reep1;Etl4;9530068e07rik;Fat3;Polr3h;Vim;Eif4g3;Ttll9
