term,genes
Bcor,Ifitm3;Mtch1;Slc35b2;Plxnd1;Ndufa11;Fnbp1l;Txndc15;Icam1;Lgals1;Lgals9;Map3k6;Cavin1;Tgm2;Il13ra1;Chid1;Tspyl2;Entpd6;Neat1;Asrgl1;Eef1a1;Tmem135;Stim1;Map7d1;Aplnr;S100a6;Padi2;Usp54;Insig1;Myl12a;Socs3;Prdx2;Nkain4;Apod;Cd14;Tppp;Slc38a3;Ralgds;Ntsr2;Iqsec1;Fuz;Bst2;Marco;Gjb2;Ppp1r1a;Stk25;Bcl3;Lcn2;Mafk;Ywhae;Pygb;Ptprn;Kcnc3;Lamc1;Etfb;Ece2;Trim8;Rbm3;Eef2k;Tmed2;Anxa7;Tsc22d4;Pllp;Tnfrsf1a;Ndufs7;Irf1;Aspg;Irf7;Vamp1;Cdc42ep1;Pmp2;Tmem9;Fjx1;Hdac2;Ahnak;Slc43a3;Atl2;Lcat;Capg;Hdac7;Gnai2;Rida;Mat2a;Asna1;Tmem205;Vhl;Egln2;Tmem176b;Nr1h2;Tmem176a;Haghl;Mlh3;Tmco1;Tmem59;Nfasc;Pfkl;Clcf1;Pnpla2
Bmi1,Ahnak;Cebpd;Ptprn;Kcna1;Zfp503;Tspan33;Cyr61;Tmem47;Gja1;Ccnd2;Sv2b;Cnr1;Atoh8;Hey2;S1pr1;Fam241a;Efhd1;Nrip3;Cd14;Msx1;E2f5;Gbp2;Pltp;Gdf10;Tle1;Tuba4a;C1ql1;Stxbp5l;Gjb2;Frem2;Macf1;Cuedc2;Frmpd1;Gstt3;Sema3g;Kctd1;Lsr;Sult1a1;Arhgap21;Clec3b;Sertad3;Cttn;Ucp2;Capn5;Gpd1;Scg5;Apod;Eif3f;Sncb;Cavin1
Brd4,Steap3;Midn;Nudt4;Laptm4a;Capn2;Sirpa;Qk;Lgals9;Map3k6;Junb;Paqr8;Tspyl1;Mbnl2;Igfbp4;Prkcd;Arid5a;Taldo1;Cybb;Tuba4a;Rnf126;Adam15;Mia2;Aplnr;Sqstm1;Atf4;Slc22a4;Lrrc59;Tbc1d9b;Lman2l;Zfp503;Slc1a4;Coro1c;Socs3;Man2a2;Mustn1;Tspan4;Txndc5;Zrsr1;Gadd45b;Pmm1;Irgm1;Gng12;Sccpdh;Adi1;Reep3;Maff;Plekhm2;Mafk;Amotl2;Nit1;Calm1;Itm2c;Bmpr1a;Cdkn1a;Rarg;Arpc1b;Kcnc3;Prkag1;Atp5g1;Ggta1;Larp1b;Ppp1r9b;9-sep;Nfkbiz;Anxa7;Cic;Cd34;Sun2;Brd2;Parp3;Gpx1;Tnfrsf12a;Slc39a10;Fos;Erbin;Ndufs7;Irf7;Arhgef4;Hap1;Gas5;Ank;Ppard;Lrp1;Cebpd;Slc43a3;Sema3g;Tns2;Psmb10;Hdac7;Tspan31;S1pr1;Spp1;Gbp3;Spen;Mtx1;Stat1;Pcp4l1;Sgpp1;Tmco1;Myo1c;9530068e07rik;Ramp1;Rpl4;Col16a1;Plxnd1;Ccnh;Mylk;Lgals1;Enpp2;Pamr1;Cavin1;Paqr6;Omg;Kctd1;Eef1a1;Ppp1r3g;Tmem135;Carhsp1;Col4a2;Crispld2;Cd109;S100a6;Scg5;Padi2;Fkbp9;Mxra7;Ezr;Macf1;Lpar1;Nrep;Arhgap21;Nln;Ptdss1;Btbd3;Abl1;Gse1;Tspan3;Ndufv2;S100a11;Col1a1;G6pc3;Reep5;Fat3;Nf2;Bcl2l1;Fgfr1;Rtp4;Synm;Prkag2;Triobp;Trim8;Rbm3;Akap13;Senp8;Flot1;Timp3;Pllp;Tmc7;Rhof;Osmr;Fam126a;Ptgr2;Slc39a14;Ptp4a2;Irf1;Cdc42ep1;Pick1;Cd302;Mgll;Ergic1;Kank1;Amigo2;Akap2;Gnai2;Tm9sf3;Ucp2;Ctnna1;Lrrc8a;Flnc;Usp24;Farp1;Smox;Mboat2;Efr3b;Asxl1;Spcs2;Marcks;Psat1;Spry2;Thrsp
Cbp,Cuedc2;Apip;Ifit1;Ifit3;Ifit2;Trim8;Rph3a;Fads3;Ccnd2;Bcl7a;Fth1;Arl6ip4;Tmed2;Anxa7;Plce1;Pamr1;Chid1;Taldo1;Irak3;Gfra1;Ampd3;Gab2;Neat1;Asrgl1;Tmem135;Stim1;Cttn;Mia2;Rhoj;Aplnr;Erp29;Irf7;Vdac2;Fjx1;Itih5;Ahnak;Anapc16;Slc43a3;Luzp2;Usp54;Lrtm2;Kcna1;Amigo2;Cstf2t;Hdac7;Coro1c;Tm9sf3;Arhgap21;Ldha;Rdh12;Tspan4;Nrip3;Gdf10;Farp1;Tmem86a;Zbtb16;Sorbs1;Sgpp1;Slc4a8;Cxcl12;P4ha1;Reep3;Dlg5;Spry2;Echdc3;Thrsp;Fat3;Vim;Eif3f;Dhcr7;Sycp3;Bmpr1a;Macf1;Lrrc59;Adcyap1r1;Steap4;Slc1a4;Lamc1;Agap3;Fnbp1l;Larp1b;Trim9;Nln;Ablim2;Chchd3;Camk2n1;Lgals9;E2f5;Usp24;Gbp5;Rasl10b;Omg;Cidea;Emp2;Foxp4;Efr3b;Cldn10;Gprc5b;Gap43;Tmx2;Kctd10;Fxyd6;Sfxn5;Mgll
Cbx2,Steap3;Aldh1l1;Ahcyl1;Col16a1;Tinagl1;Lamc1;Fnbp1l;Cyr61;Laptm4a;Kif5c;Capn2;Tnr;Phgdh;Map3k6;Cd34;Wls;Gbp5;Paqr7;Myoc;Tpm3;Fbxo2;Sdhc;Slc30a1;Ddost;Fndc5;Ptp4a2;Map7d1;S100a6;Arhgef4;Padi2;Cmpk2;Astn1;Macf1;Atl2;Slc1a4;Cnn3;Olfml3;Camk2n1;Atoh8;Susd4;S1pr1;Them4;Camta1;Gbp2;Eps15;S100a11;Mcl1;Gbp3;Ntsr2;Usp24;Spen;Cadm3;Negr1;Iqsec1;Mboat2;Gng12;Efr3b;Tmco1;Reep1;Nfasc;Ehd3;Sccpdh;Adi1;Alpl;Plekhm2;Slc25a34;Eif4g3;Sfxn5;Gria1;Plxnd1;Luzp2;Zfp703;Insig1;Kcna1;Ntm;Zfp503;Amot;Mylk;Tmem47;Chchd3;Ccnd2;Dner;Efhd1;Msx1;Tle1;Acot10;Slc39a10;Kctd1;C1ql1;Col4a2;Reep3;Fat3;Vgll3
Ccnd1,Rpl4;Ywhae;Ndufa13;Midn;Hip1;Hspb6;Prkag1;Dbi;Lamc1;Etfb;Atp5g1;Cyr61;Ifit2;Laptm4a;Ccnd2;Tmem147;Mdk;Senp8;Capn2;Map3k6;Cic;Dusp4;Brd2;Gabarapl1;Parp3;Tle1;Tpi1;Tnfrsf12a;Igfbp4;Fbxo2;Ifrd1;Slc39a10;Taldo1;Fos;Foxp4;Asrgl1;Rnf126;Stim1;Tst;Ergic3;Itih5;Cdc42se1;Atp6v1a;Mvk;Ndufb10;Lrp1;Insig1;Saa3;Zfp503;Agpat1;Psmb10;Cnn3;Coro1c;Tspan31;Socs3;Prdx2;Sertad3;Rras;Olfml3;Asna1;Lrig1;Gse1;Fmc1;Negr1;Wfs1;Fus;Haghl;Asxl1;Qdpr;Bst2;Tmem59;Pfkl;Marcks;Slc6a8;Adi1;Maff;Lcn2;Spry2;Rnps1;Vim;Sfxn5;Ypel3;Itm2c
Cdkn2aip,Tspyl2;Gdf10;Nsg2;Camk2n1;Camta1;Mark3
Cdx2,Steap3;Ptprn;Hjurp;Dbi;Lamc1;Nudt4;1700025g04rik;Retreg2;Gja1;9-sep;Mprip;Mpz;Dner;Hey2;Capn2;Adora1;Myo18a;Tnr;Efhd1;Timp3;Lgals9;Cd34;Paqr8;Myoc;Col23a1;Arid5a;Kremen1;Slc39a10;Slc30a1;Icosl;Bcs1l;Tuba4a;Mia2;Irf1;Arhgef4;Cmpk2;Tmem9;Astn1;Gria1;Hdac2;Ddc;Hlf;Lman2l;Lrp1;Anapc16;Slc1a4;Nln;Susd4;Ntsr2;Zrsr1;Cadm3;Gadd45b;Ifi204;Stat1;Pcp4l1;Ccdc190;Vta1;Tmco1;Marco;Nfasc;Marcks;Sccpdh;P4ha1;Nsg2;Stk25;Fabp7;Reep3;9530068e07rik;Chpt1;Sycp3;Nf2;Rgl1;Fcgr2b;Ramp1;Itm2c;Lgals3bp;Col16a1;Arl6ip1;Kcnc3;Rasgrf2;Apip;Fam107a;Ppp1r9b;Mylk;Trim9;Kif5c;Adamts1;Capn5;Dusp4;Rsad2;Gpx3;Entpd6;Cybb;Irak3;Asrgl1;Dctd;Erbin;Carhsp1;Eef1a2;Vdac2;Pmp2;Cd302;Nupr1;Ezr;Chst2;Luzp2;Usp54;Lpar1;Rhobtb3;Lcat;Gdpd2;Tspan33;Sel1l3;Tm9sf3;Arhgap21;Srr;Sbno2;Ablim2;Tceal3;Bag1;Camta1;Apod;Mapk4;Spen;Zbtb16;Ephx2;Sorbs1;Coq7;Sgpp1;Ehd3;Rcan2;Alpl;Plekhm2;Echdc3;Calm1;Bcl2l1;Ahcyl1;Tinagl1;Fnbp1l;Cyr61;Trim8;Phgdh;Map3k6;Wls;Gbp5;Paqr7;Fbxo2;Ddost;Fndc5;Ptp4a2;Map7d1;Aplnr;S100a6;Padi2;Itih5;Macf1;Cstf2t;Cnn3;Olfml3;Camk2n1;S1pr1;Them4;Gbp2;Eps15;S100a11;Mcl1;Gbp3;Usp24;Negr1;Gng12;Cxcl12;Vim;Slc25a34;Eif4g3;Slc44a1;Sdc2;Pla2g7;Sgce;Olfm1;Rcn2;Glipr2;Ctdsp2;Maff;Msx1
Cebpa,Lgals3bp;Pygb;Ndufa11;Gt(rosa)26sor;Fnbp1l;Ggta1;Triobp;Trim8;Rph3a;Mpz;Fth1;A730017l22rik;Car14;Phgdh;Lgals9;Kpna3;Paqr7;Myoc;Col23a1;Amt;Kremen1;Gab2;Neat1;Dnm1;Dctd;Rcn2;Rhoj;Aspg;Gpd1;Igtp;Hap1;Mxra7;Fam92b;Ank;H2-d1;Atf4;Cdc42se1;Mtmr3;Tbc1d9b;Ahnak;Lman2l;Insig1;Lpar1;Gstt3;Sema3g;Slc1a4;Zc3hav1;Tspan33;Usp18;Pla2g7;Fbln5;Sbno2;Dhrs7b;1110051m20rik;Tspan7;Cyc1;Ntsr2;C1ra;Gadd45b;Btbd17;Vta1;Nap1l1;Nipsnap2;Col1a1;Ehd3;Myo1c;G6pc3;Fabp7;Clcf1;Lcn2;Alpl;Echdc3;Ramp1;Eif4g1;Steap4;Naxd;Tnfaip6;Zfp869;Hjurp;Prkag1;Ccp110;Etfb;Icam1;Tgm1;Ptdss1;Rras;Ctsl;Apoh;Them4;Polr2m;Rpl41;Irak3;Serpina3m;Osmr;Tnfrsf1a;Cyp51;B230208h11rik;Dhrs7;Lrg1;Stk25;Tmem33;Psat1;Hacd3;Steap3;Synm;Plxnd1;Arl6ip1;Plod2;Ifit1;Larp1b;Trim9;Golga4;Ccnd2;Hey2;Cic;Synpo;Pamr1;Brd2;Gabarapl1;Tspyl1;Commd10;Omg;Ndufc2;Emp2;C1ql1;Fndc5;Erbin;Tmem135;Gap43;Adam15;Erf;Plin4;Anapc4;Vdac2;Cd302;Mgll;Macf1;Ddc;Cebpd;Usp54;Agap3;Cox5a;Myl12a;Tm9sf3;Arhgap21;Mat2a;Camk2n1;Pnpo;Tspan3;Slc38a3;Tmem86a;Negr1;Hinfp;Bst2;Marco;Spcs2;Cxcl12;Adi1;Thrsp;Vim;Nit1;Ypel3
Cebpb,Ifitm3;Col16a1;Steap4;Gt(rosa)26sor;Hjurp;Tmem140;Endou;Samd14;Fth1;Tom1;Capn2;Junb;Slc39a1;Chid1;Tle1;Mbnl2;Rsad2;Rpsa;Neat1;Tmem135;Kctd10;Cd109;H2-d1;Atf4;Atp6v1a;Lxn;Lman2l;Rhobtb3;Fbln5;Nkain4;Man2a2;Abl1;Them4;Apod;Tspan3;Ralgds;Rpl41;Idh2;Msn;Cp;Fbxo31;Eif1;Cxcl12;G6pc3;Reep5;Stk25;Bcl3;Echdc3;Rgl1;Nit1;Bcl2l1;Pygb;Rarg;Tinagl1;Tnfaip6;Slc44a1;Arpc1b;Dbi;Lamc1;Ggta1;Cyr61;Triobp;Trim8;Map1lc3b;Eef2k;Glipr2;Ctsl;Nfkbiz;Myo18a;Cic;Metrn;Bgn;Slc39a10;Emp2;Rhof;Osmr;Tnfrsf1a;Rab33b;Erbin;Ptp4a2;Slc25a18;Tmem33;Rhoj;Cdc42ep1;Hacd3;Cd302;Angptl4;Vgll3;Ppard;Slc43a3;Saa3;Tns2;Usp18;Hdac7;Fam129b;Rida;Clec3b;Ablim2;Olfml3;Tmem205;S1pr1;Spp1;Sncb;Jam2;Spen;Farp1;Egln2;Ifi204;Stat1;Ccdc190;Sgpp1;Snrk;Dhrs7;Zyx;Chpt1;Thrsp;Vim;Fcgr2b;Pnpla2;Cdkn1a;Midn;Cuedc2;Ndufa11;Sat1;1700025g04rik;Laptm4a;Tmem147;Lgals1;Adamts1;Senp8;Tmsb4x;A730017l22rik;Timp1;1700086o06rik;Hmgn1;Tead3;Tspyl2;Brd2;Paqr7;Tspyl1;Prkcd;Amt;Rfx3;Irak3;Fos;Asrgl1;Tapbp;Ppa2;Stim1;Ndufs7;Gpd1;Erp29;Plin4;Slc25a5;Ctxn1;Chst2;Fkbp5;Ppp1r15a;Pdxdc1;Mvp;Insig1;Zfp503;Amigo2;Cstf2t;Capg;Sbsn;Sbno2;Emg1;Sertad3;Ldha;Rras;Galr3;Btbd3;Asna1;1110051m20rik;Ctnna1;Cyc1;Ip6k1;S100a11;Zrsr1;Tmem86a;C1ra;Gadd45b;Wfs1;Tmem176b;Tmem176a;Haghl;Mt1;Mlh3;Psmb8;Cyp51;Asxl1;Dbndd2;Spry2;Nf2;Cdo1;Tmem9b;Rpl4;Rtp4;Slc35b2;Aldh1l1;Pros1;H2-k1;Ifit3;Rph3a;Gja1;Arl5c;Fnta;Snapc2;Adora1;Me1;Sirpa;Car14;Qk;Map3k6;Synpo;Cavin1;Oasl2;Parp3;1110008p14rik;Icosl;Ptgr2;Carhsp1;Igtp;Vamp1;Fjx1;Sqstm1;Frem2;Mgll;Astn1;Agpat5;Naxd;Mtmr3;Zfp869;Slc1a4;Rnf7;Akap2;Tm9sf3;Socs3;Mat2a;Mobp;Camk2n1;Mgat3;Lrig1;Pltp;Mark3;Btbd17;Cmtm5;Tnk2;Mboat2;Nipsnap2;Pfkl;Myo1c;Ppp1r1a;Clcf1;Amotl2;Eif3f;Slc25a34;Ttll9;Itm2c;Lgals3bp;Plxnd1;Ncan;Prkag1;C4b;Ndst1;Peg13;Slc22a17;Mpz;Phgdh;Pgm5;Lgals9;Kpna3;Endog;Myoc;Col23a1;Shisa5;Gab2;2210016f16rik;Ppp1r3g;Aspg;Pmp2;Hap1;Mxra7;Fam92b;Ank;Cdc42se1;Exd2;Tbc1d9b;Gstt3;Sema3g;Zc3hav1;Agpat1;Dhrs7b;Pnpo;Cd14;Tppp;Hhatl;Nap1l1;Col1a1;P4ha1;Fabp7;Lcn2;Alpl;Polr3h;Ramp1;Eif4g1;Hip1;Lgals3;Mdk;Pamr1;Gabarapl1;Igfbp4;Dnm1;Dctd;Rcn2;Eef1a2;Ergic3;Ahnak;Lmf1;Sc5d;Gbp2;Ehd3;Plekhm2;Ywhae;Rasgrf2;Apip;2900097c17rik;Fnbp1l;Mylk;Sgce;Akap13;Mprip;A4galt;D3ertd751e;Enoph1;Tgm2;Gpr179;Omg;Cacna2d3;Gprc5b;Ddc;Hlf;Lrp1;Atl2;Coro1c;4-sep;Susd4;Fam241a;Eps15;Def8;Iigp1;Mfhas1;Fat3;Tgm1;Fyco1;Gfra1;Tst;Cadm3;Irgm1;Eif2ak2;Ccnh;Kcnc3;Hspb1;Hrct1;Trim9;Hadh;Dusp4;Fbxo2;Entpd6;Tmc7;Slc39a14;Eef1a1;Map7d1;Irf1;Anapc4;Tmem9;Ergic1;Rtn2;Hdac2;Lcat;Agap3;Arhgap21;Ucp2;Vhl;Slc38a3;Txndc5;Ntsr2;Gdf10;Vta1;Gng12;Tmco1;Calm3;Taldo1;Ak4;Qdpr;Lrg1;Adcy2;Tmem47;Bag1;Camta1;Ctnna2;Mcl1;Unc13a;Sorbs1;Shisa9;Spcs2;Gap43;Col4a2;Crispld2;Calr;Fgfr1;Zfp703;Ntm
