term,genes
Cbfb,Slc22a4;Aldh1l1;Slc44a1;Arpc1b;Fam107a;Prkag2;Aqp4;Cox5a;Cyr61;Coro1c;Endou;Sbno2;Cnr1;Mustn1;Tspan6;Hey2;Them4;Smyd1;Lgals9;Snx5;Mapk4;Il13ra1;Brd2;Iqsec1;Stat3;Tmem176a;Cidea;Cybb;Eif2ak2;Gng12;Cp;Spcs2;Irf1;Ppp1r1b;Vdac2;Gnb5;Irf9
Cebpb,Pigs;Midn;Ahcyl1;Col16a1;Tinagl1;Tnfaip6;Hspb6;Tecr;Prkag1;Prkag2;Hrct1;Aqp4;Larp1b;Cyr61;Ifit3;Tgm1;Endou;9-sep;Chchd3;Adamtsl2;Capn2;Timp3;Junb;Gpr179;Paqr8;Sun2;Ifrd1;Taldo1;Irak3;Bcs1l;Osmr;Ptgr2;Tuba4a;Ptp4a2;Map7d1;Cd109;Sqstm1;Kank1;Lrtm2;Kcna1;Amigo2;Slc5a3;Osgep;Sel1l3;Socs3;Ldha;Btbd1;Myo6;Smyd1;Cd14;Flnc;Slc38a3;Eps15;Pcp4l1;Smox;Ptprd;Myo1c;Gsta4;Stk25;Clcf1;Zyx;Alpl;Vim;Nit1
Cebpd,Cdkn1a;Tinagl1;Arl6ip1;Pros1;Fam107a;Prkag2;Fnbp1l;Larp1b;Rph3a;Sgce;Mpz;Capn2;Tmed2;Kpna3;Chid1;Paqr6;Tmc7;Irak3;Osmr;Ptgr2;Slc39a14;Tuba4a;Ptp4a2;Rcn2;Tmx2;Cttn;Tst;Ctdsp2;Gpd1;Vdac2;Fkbp9;Hap1;Frem2;Ppard;Exd2;Tbc1d9b;Ntm;Capg;Tns2;Agpat1;Srr;Rras;Asna1;Mgat3;Tspan4;Pnpo;Lrrc8a;Pltp;Mapk3;Mtx1;Sorbs1;Psmb8;Reep1;Col5a3;Fabp7;Sfxn1;Nf2;Nit1;Xaf1;Tpt1;Pnpla2;Fgfr1;Eif4g1
Creb1,Synm;Ahcyl1;Tbc1d9b;8-mar;Lman2l;Cebpd;Zfp703;Ccnh;H2-k1;Chchd3;Tmed2;Scd1;Fmc1;Junb;Jam2;Slc35a2;Nr1h2;Stat3;Entpd6;Kctd1;Mt1;Fos;Bcs1l;Slc39a14;Hinfp;Marcks;Gap43;Cxcl12;Gsta4;Pick1;Calm3;Gnb5;Calm1;Mgll;Tmem9b;Chst2;Ndufa13;Tinagl1;Ptprn;Pros1;Tecr;Fam107a;Etfb;Atp5g1;Larp1b;Cyr61;Rbm3;Tgm1;Fads3;Akap13;Golga4;Fnta;Slc22a17;Senp8;Hey2;Nfkbiz;Plce1;Phgdh;Hadh;Enoph1;Slc13a3;Gabarapl1;Rsad2;Mamstr;Commd10;Ifrd1;Amt;Rfx3;Rhof;Tapbp;Eef1a1;Olfm1;Gprc5b;Rcn2;Cttn;Rhoj;Cd302;Nupr1;Mxra7;Angptl4;Fkbp3;Ergic1;Astn1;Ppp1r15a;Ddc;Mvk;Lrtm2;Tns2;Tspan33;Akap2;Myl12a;Gnai2;Tspan31;Clec3b;Sertad3;Cnr1;Tmem205;Tspan4;E2f5;Ralgds;Rpl41;Egln2;Gadd45b;Stat1;Smox;Mboat2;Fbxo31;Marco;Tmem59;Nfasc;Spcs2;Znfx1;Sfxn1;Rnps1;Sycp3;Nf2;Nit1
Crem,Ahcyl1;Hip1;Mvk;Slc43a3;Usp54;Ptprn;Amigo2;Zc3hav1;Sat1;Myl12a;Tspan31;Ptdss1;Ccnd2;Slc22a17;Ralgds;Slc13a3;Iqsec1;Ifrd1;Irak3;Emp2;Dbndd2;Znfx1;Serping1;Chpt1;Rgl1;Nit1;Calm1;Cdo1;Ppard
Crtc1,Pygb;Adcyap1r1;Anapc16;Luzp2;Cltb;Prkag2;Gdpd2;Triobp;Cnn3;Sult1a1;Ednrb;Cnr1;Tspan6;Spp1;Sirpa;Nrip3;Ctnna2;Smad1;Slc13a3;Tpi1;Fbxo2;Lgi3;Ifrd1;Cybb;Kctd1;Foxp4;Asrgl1;Eif1;Stxbp5l;Ptprd;Qdpr;Ifi27;Map7d1;Fabp7;Echdc3;Tmem9;Slc25a34;Eif4g3;Ppard
E2f1,Steap3;Ndufa13;Midn;Col16a1;Arl6ip1;Ndufa11;Frmpd1;Txndc16;Tgm1;Fads3;Retreg2;Samd14;Chchd3;Ccnd2;Ednrb;Capn2;Adora1;Sirpa;Arl6ip4;Kpna3;Hmgn1;Chid1;Tle1;Prkcd;Col23a1;Ifrd1;Shisa5;Omg;Kctd1;Rfx3;Rpsa;Bcs1l;Olfm1;Carhsp1;Smo;Adam15;Stim1;Erp29;Anapc4;Ezr;Ctxn1;Sqstm1;Rtn2;Slc22a4;Macf1;Lrrc59;Adcyap1r1;Tbc1d9b;Ndufb10;Insig1;Lpar1;Slc1a4;Ak4;Zc3hav1;Slc5a3;Osgep;Cnn3;Sult1a1;Socs3;Arhgap21;Sbno2;Ptdss1;Rras;Man2a2;Tspan6;Tspan7;Abl1;Camta1;Mark3;Txndc5;Smad1;Gadd45b;Iqsec1;Vta1;Idh2;Cidea;Reep1;Gjb2;Cxcl12;Slc6a8;Stk25;Amotl2;Fxyd6;Sfxn1;Rnps1;Dhcr7;Gnb5;Nf2;Rgl1;Calm1;Bcl2l1;Itm2c;Fgfr1;Bmpr1a;Eif4g1;Rtp4;Synm;Hspb6;Kcnc3;Prkag2;Dbi;Hrct1;Etfb;Ece2;Slc7a10;Larp1b;Triobp;Ppp1r9b;Trim8;Mrpl41;Sgce;Tmem47;Akap13;Map1lc3b;9-sep;Eef2k;Dbp;Glipr2;Slc22a17;Dner;Adamtsl2;Hey2;Flot1;Efhd1;Tmed2;Cic;Enoph1;Tead3;Dusp4;Brd2;Slc13a3;Tpi1;Atp6ap1;Pllp;Gpx3;Metrn;Fos;Ptgr2;Slc39a14;Tapbp;Erbin;Slc25a18;Gprc5b;Ndufs7;Irf1;Aspg;Irf7;Chst2;Ppard;Mvk;Slc43a3;Mvp;Lrtm2;Amigo2;Lcat;Adcy2;Sbsn;Agpat1;Hdac7;Lmf1;Srr;Clec3b;Sertad3;Ablim2;Cnr1;Fam120c;Ucp2;Mgat3;Lrig1;Ctnna2;E2f5;Usp24;Mtx1;Stat1;Mboat2;Hinfp;Tmem59;Znfx1;Myo1c;Gsta4;Clcf1;Eif3f;Sycp3;8-mar;Plxnd1;Pros1;Aqp4;Fnbp1l;Mylk;Ifit2;Ndst1;Fads2;Mprip;Qk;Synpo;Pamr1;Cavin1;Paqr6;Paqr7;Unc13a;Stard7;Mamstr;Entpd5;Cacna2d3;Asrgl1;Eef1a1;4930402h24rik;Tmx2;Fez1;H2-d1;Fkbp5;Atp6v1a;Gpm6a;Mobp;Myo6;Bag1;Smyd1;Gse1;Mbp;Tmem86a;Pmm1;Mt1;Coq7;Bst2;Bc005537;Etl4;Lcn2;Alpl;Rasgrf2;Apip;Vldlr;Smg5;Rlbp1;Mdk;Timp1;A4galt;D3ertd751e;Gpx1;Slc39a10;Emp2;Gab2;Ddost;Rab33b;C1ql1;Cldn10;Ptp4a2;Rdh5;Slc25a5;Irf9;Ddc;Ahnak;Lrp1;Ptn;Psmb10;Drp2;Tmem205;4-sep;Spp1;Flnc;Sncb;Mapk3;Tmem176b;Tmco1;Apln;Dbndd2;9530068e07rik;Ypel3;Tpt1
E2f6,Rtp4;Steap3;Hip1;Plxnd1;Ptprn;Frmpd1;Prkag1;Prkag2;Dbi;Hr;Lamc1;Retreg2;9-sep;Bcl7a;Psd2;Mdk;Adamts1;Dner;Hey2;Tom1;Flot1;Efhd1;Sirpa;Plce1;Cic;Junb;Dusp4;Sun2;Pllp;Kremen1;Kctd1;Rfx3;Ampd3;Fos;Rnf126;Gprc5b;Stim1;Eef1a2;Serping1;Sqstm1;Atp6v1a;Cebpd;Insig1;Agap3;Agpat1;Socs3;Arhgap21;Sertad3;Rras;Cnr1;Camk2n1;Fam120c;Myo6;Susd4;Tspan4;Nrip3;Tppp;Msx1;Usp24;Smad1;Farp1;Iqsec2;Cmtm5;Tnk2;Mboat2;Nipsnap2;Reep1;Slc6a8;Zyx;Mafk;Sfxn1;Eif4g3
Egr1,Plxnd1;Prkag2;Lamc1;Txndc16;Trim8;Fads2;Adora1;Me1;Sirpa;Qk;Scd1;Hadh;Synpo;Tead3;Sun2;1110008p14rik;Tle1;Unc13a;Commd10;Prkcd;Col23a1;Kremen1;Cacna2d3;Kctd1;Icosl;Shisa9;Rab33b;C1ql1;Fndc5;Cldn10;Ptp4a2;Rnf126;Ppa2;Stim1;Mia2;Ctdsp2;Irf1;Erp29;Mgll;Fkbp5;Mtmr3;Insig1;Kcna1;Tshz1;Atl2;Adcy2;Agap3;Slc5a3;Coro1c;Rras;Btbd3;Fam241a;Camta1;Gse1;Mbp;Ralgds;Mapk3;Egln2;Gadd45b;Fus;Vta1;Ephx2;Tnk2;Mboat2;Gng12;Prrc2b;Fbxo31;Dbndd2;Sccpdh;Stk25;Reep3;Ppp1r1b;Maff;Ypel3;Rtn2;Macf1;Hip1;Tns2;Triobp;Nudt4;Myo6;Adamtsl2;Ctnna1;Flnc;Tppp;Slc38a3;Dusp4;Gdf10;Lsr;Eif1;Sqle;Gprc5b;Myo1c;Smo;Adam15;Eef1a2;Erf
Elf3,Midn;Tinagl1;Plxnd1;Kcnc3;Prkag2;Plod2;Larp1b;Triobp;Retreg2;9-sep;Tmem147;Dbp;Ednrb;Mdk;Arl6ip4;Junb;Gpr179;Arid5a;Amt;Bgn;Emp2;Ampd3;Fos;Tuba4a;Fndc5;Tst;Aplnr;Tmem9;Angptl4;Mgll;Fkbp5;Rtn2;Adcyap1r1;Mvp;Amigo2;Zbtb42;Tns2;Pla2g7;Gnai2;Drp2;Ldha;Btbd1;4-sep;Pnpo;Mbp;Ip6k1;Txndc5;Hhatl;Iqsec1;Fus;Ephx2;Eif2ak2;Sorbs1;Efr3b;Apln;Nfasc;Gjb2;Rnps1
