term,genes
Elk1,Rpl4;Tinagl1;8-mar;Ncan;Tecr;Dbi;Hr;Slc7a10;Larp1b;Ppp1r9b;Mylk;Rbm3;C4b;Map1lc3b;Samd14;Dbp;Capn2;Adora1;Arl6ip4;Plce1;Phgdh;Tgm2;1110008p14rik;Myoc;Fbxo2;Gfra1;2210016f16rik;Olfm1;Rnf126;Mia2;Tst;Anapc4;Pick1;Ergic3;Irf9;Agpat5;Macf1;Kank1;Naxd;Zfp869;Lrp1;Insig1;Agpat1;Osgep;Drp2;Arhgap21;Ldha;1110051m20rik;Atoh8;Tspan4;Nrip3;Ctnna2;Fmc1;Mark3;Gadd45b;Pmm1;Smox;Rasl10b;Vta1;Tnk2;Dhrs1;Cp;Col1a1;Cxcl10;Dhrs7;Slc6a8;Alpl;Sfxn1;Xaf1;Fgfr1;Pigs;Steap3;Col16a1;Hip1;Tnfaip6;Prkag1;Plod2;Rlbp1;Ifit3;Icam1;Bcl7a;Flot1;Enpp2;Map3k6;Pamr1;Tead3;Paqr8;Brd2;Tspyl1;Ifrd1;Arid5a;Lsr;Ampd3;Dnm1;Carhsp1;Smo;Col4a2;Padi2;Hap1;Frem2;Usp18;Gnai2;Cnn3;Sertad3;Rras;Fam120c;4-sep;Pnpo;Msx1;Slc38a3;Sncb;Mtx1;Zbtb16;Eif2ak2;Def8;Asxl1;Gnb5;Calm1;Sfxn5
Esr1,Synm;Midn;Cuedc2;Tecr;Ece2;Ifit3;9-sep;Flot1;Tmed2;Cavin1;Brd2;Gabarapl1;Endog;Tle1;Metrn;Amt;Bcs1l;Asrgl1;Rnf126;Tmem35a;S100a6;Cdc42ep1;Hacd3;Nupr1;Ezr;Ergic1;Fkbp5;Ppp1r15a;Lman2l;Cox5a;Akap2;Gnai2;Tm9sf3;Sult1a1;Drp2;Prdx2;Emg1;Rras;Fam120c;Asna1;Mgat3;Abl1;Tspan4;Them4;Smyd1;Cd14;Flnc;Pltp;Ntsr2;Gadd45b;Pmm1;Smox;Fuz;Mlh3;Reep1;Slc4a8;Spcs2;Lcn2;Calm3;Polr3h
Esr2,Brd2;Slc25a18;Flot1;Hjurp;Vdac2;Tmco1
Ets1,Ifitm3;Mtch1;Slc35b2;Aldh1l1;Frmpd1;Pros1;Fnbp1l;Amot;Ifit2;Tgm1;Samd14;Chchd3;Ednrb;Kif5c;Enpp2;Tnr;Sirpa;Synpo;Junb;Tgm2;Wls;Il13ra1;Gbp5;Gabarapl1;Rsad2;Mamstr;Fbxo2;Ifrd1;Rfx3;Tuba4a;Clip3;Dctd;Eef1a1;Tmem135;Kctd10;Sbds;Padi2;Vdac2;Ezr;Atf4;Exd2;Adcyap1r1;Ntm;Rhobtb3;Ak4;Sel1l3;Sbno2;Ldha;Rras;Galr3;Dhrs7b;Apoh;Bag1;Cyc1;Ip6k1;S100a11;Txndc5;Smad1;Hhatl;Iqsec1;Fus;Zbtb16;Vta1;Ephx2;Eif2ak2;Nipsnap2;Gng12;Fbxo31;Ptprd;Marco;Sccpdh;G6pc3;Ppp1r1a;Col5a3;Maff;Calm3;Fat3;Fxyd6;Sfxn1;Eif4g3;Sfxn5;Bcl2l1;Bmpr1a;Lgals3bp;Rtp4;Cdkn1a;Tinagl1;Tnfaip6;Hspb6;Arpc1b;Rasgrf2;Prkag1;Prkag2;Ece2;Triobp;Akap13;Trim9;9-sep;Mdk;Adamts1;Senp8;Tmsb4x;Hey2;Nfkbiz;Flot1;Dusp4;Brd2;Slc13a3;Parp3;Tpi1;Gpx1;Gpx3;Amt;Irak3;Emp2;Ampd3;Fos;Rab33b;Ptp4a2;Gprc5b;Tst;Angptl4;Gas5;Chst2;Irf9;Itih5;Ddc;Naxd;Slc43a3;Amigo2;Sema3g;Zbtb42;Cstf2t;Ptn;Agpat1;Hdac7;Gnai2;Tspan31;Srr;Sertad3;Olfml3;Camk2n1;Tceal3;Susd4;S1pr1;Nrip3;E2f5;Eps15;Slc35a2;Mtx1;Stat1;Pcp4l1;Tmem176b;Cmtm5;Haghl;Dhrs1;Efr3b;Psmb8;Stxbp5l;Dbndd2;Znfx1;Myo1c;Clcf1;Zyx
Ets2,Steap3;Cuedc2;Slc44a1;Hjurp;Dbi;Ifit3;Sox2;Akap13;Trim9;Adamts1;Tmsb4x;Kif5a;Adora1;Sirpa;Lgals9;Il13ra1;Hmgn1;Tspyl2;Brd2;Ndufc2;Kctd1;Irak3;Asrgl1;Carhsp1;Mia2;Ifi27;Angptl4;Ergic1;Macf1;Usp54;Lrtm2;Slc1a4;Ptn;Agpat1;Akap2;Hdac7;Arhgap21;Btbd1;Apoh;Usp24;Nap1l1;Dhrs1;Nipsnap2;Efr3b;Cops6;Ppp1r1a;Fabp7;Rgl1;Fcgr2b
Etv4,Ahcyl1;Col16a1;Plxnd1;Hjurp;Prkag2;Hrct1;Tmem140;Rlbp1;Triobp;Amot;Ppp1r9b;Trim9;Retreg2;Ccnd2;Tmem147;Ednrb;Mdk;Adamtsl2;Adora1;Synpo;Paqr6;Ifrd1;Shisa5;Bgn;Slc30a1;Tapbp;Olfm1;Smo;Rhoj;Rdh5;Cdc42ep1;Ezr;Fkbp5;Agpat5;Gpm6a;Ndufb10;Amigo2;Slc1a4;Coro1c;Rida;Camk2n1;Apoh;Tspan4;Pnpo;Mbp;Tppp;Eps15;Slc14a2;Stat1;Pcp4l1;Vta1;Col1a1;Marco;Nfasc;Dbndd2;Myo1c;Gsta4;Reep5;Col5a3;Clcf1;Calr;Ttll9
Fev,Qdpr;Brd2;Myo1c;Cmtm5;Maff;Zyx;Flot1;Irak3;Tns2;Fbxo31
Fos,Synm;Cuedc2;8-mar;Eci1;H2-k1;Apip;Fam107a;Lamc1;Etfb;Atp5g1;Txndc15;Gja1;Laptm4a;9-sep;Psd2;Capn2;Adora1;Me1;Plce1;Pgm5;Timp1;A4galt;Cic;Synpo;Gbp5;Rhoj;Vdac2;Pmp2;Tagln3;Sqstm1;Slc22a4;Tbc1d9b;Zfp703;Capg;Zc3hav1;Hdac7;Lao1;Rdh12;Ctnna1;Cdc37l1;Flnc;Gbp2;Slc38a3;S100a11;Hhatl;C1ra;Ifi47;Sorbs1;Cxcl10;Sqle;Snrk;Reep3;Bcl3;Etl4;Zyx;Calm3;Sfxn1;Vim;Xaf1;Bmpr1a;Larp1b;Rbm3;Tgm1;Endou;Akap13;Trim9;Nfkbiz;Cd34;Gpr179;Sun2;Gabarapl1;Tpm3;Ifrd1;Taldo1;Bcs1l;Ptp4a2;Tmem135;Cd109;Kank1;Lman2l;Anapc16;Amigo2;Pla2g7;Akap2;Ldha;Cnr1;Myo6;Cd14;Cyc1;Ralgds;Snx5;Smox;Gng12;Ptprd;Dbndd2;Cops6;Gsta4;Stk25;Alpl;Gnb5;Rgl1;Nit1
Foxa1,Rpl4;Aldh1l1;Ccnh;Kcnc3;Pros1;Prkag2;Hspb1;Ece2;Map1lc3b;Lgals1;Mpz;Nfkbiz;Tom1;Flot1;Enpp2;Brd2;Mbnl2;Tnfrsf12a;Tpm3;Omg;Fos;Fam126a;Dnm1;Cldn10;Carhsp1;Rcn2;Fez1;Hap1;Ezr;Chst2;Ppp1r15a;Gpm6a;Mvk;Lrtm2;Ak4;Sult1a1;Prdx2;Sbno2;Fam120c;Asna1;Ucp2;Smyd1;Cd14;Pltp;Ralgds;Pmm1;Nr1h2;Coq7;Mlh3;Cherp;Asxl1;Dhrs7;G6pc3;Gsta4;Fabp7;Thrsp;Calr;Gnb5;Eif4g1;Ptprn;Slc7a10;Ifit1;Atp5g1;Ifit2;Fads2;Laptm4a;Arl5c;Chchd3;Capn2;Myo18a;Sirpa;A4galt;Kpna3;Oasl2;Atp6ap1;Slc39a14;Mia2;Irf7;Plin4;Ergic3;Slc25a5;Fkbp5;Rtn2;Slc22a4;Ndufb10;Anapc16;Slc43a3;Cstf2t;Rnf7;Hdac7;Rida;Lmf1;Drp2;Rdh12;Btbd3;Pnpo;Fmc1;E2f5;Zrsr1;Vta1;Msn;Fuz;Mt1;Sorbs1;Efr3b;Sgpp1;Iigp1;Eif1;Sccpdh;Chpt1;Nf2;Tpt1;Fgfr1
Foxc1,Ifitm3;Rpl4;Ahcyl1;Arl6ip1;Ccnh;Frmpd1;Aqp4;Fnbp1l;Ifit1;Ifit3;Icam1;Mylk;Ifit2;Endou;Lgals3;Retreg2;Golga4;Gja1;Ednrb;Lgals1;Plce1;Lgals9;Wls;Gpr179;Paqr8;Gbp5;Paqr6;Gabarapl1;Endog;Paqr7;Tspyl1;Mbnl2;Rsad2;Prkcd;Col23a1;Ifrd1;Omg;Taldo1;Rfx3;Fndc5;Ppp1r3g;Carhsp1;Ppa2;Mia2;Cd109;Fez1;Padi2;Vdac2;Ezr;Ctxn1;Frem2;Astn1;Atf4;Cdc42se1;Slc22a4;Macf1;Exd2;Adcyap1r1;Lxn;Pdxdc1;Lman2l;Anapc16;Sdc2;Lpar1;Zc3hav1;Slc5a3;Pla2g7;Osgep;Myl12a;Sult1a1;Nln;Ptdss1;Rras;Tspan6;Myo6;Tspan4;Pnpo;Cd14;Tspan3;Ralgds;Snx5;S100a11;Cadm3;Rpl41;Gadd45b;Iqsec2;Btbd17;Iqsec1;Eif2ak2;Gng12;Prrc2b;Col1a1;Marco;Gjb2;Ehd3;Adi1;Wnk2;Fat3;Fxyd6;Rnps1;Rgl1;Sfxn5;Tmem9b;Itm2c;Pigs;Pygb;Cdkn1a;Rarg;Tinagl1;Hip1;Ptprn;Arpc1b;Kcnc3;Tecr;Cltb;Prkag2;Hrct1;Vldlr;Slc7a10;Ggta1;Larp1b;Tmem47;Akap13;Glipr2;Slc22a17;Tmsb4x;Tmed2;Timp3;Anxa7;Phgdh;Timp1;Cic;Tsc22d4;Brd2;Tpi1;Pllp;Metrn;Slc39a10;Tmc7;Emp2;Gfra1;Ampd3;Gab2;Fos;Ptgr2;Slc39a14;Rab33b;Cldn10;Cttn;Tmem33;Tmem35a;Cdc42ep1;Pick1;Hap1;Ergic3;Fjx1;Mgll;Chst2;Vgll3;Slc43a3;Kcna1;Amigo2;Gdpd2;Capg;Ptn;Akap2;Gnai2;Fam129b;Drp2;Sertad3;Olfml3;Mgat3;Spp1;Ctnna1;Ctnna2;Eps15;Jam2;Farp1;Egln2;Mtx1;Mog;Pcp4l1;Tmem176b;Stat3;Sorbs1;Dhrs1;Psmb8;Hinfp;Stxbp5l;Tmem59;Spcs2;Dhrs7;Znfx1;Lrg1;Clcf1;Zyx;Ramp1;Ypel3;Mtch1;Col16a1;Steap4;Ndufa11;Pros1;Hjurp;Fam107a;Sat1;Rph3a;Laptm4a;Chchd3;Tmem147;Kif5a;Capn2;Tnr;Sirpa;Hadh;Tgm2;Il13ra1;Hmgn1;Igfbp4;Tpm3;Mamstr;Arid5a;Cybb;Sdhc;Slc30a1;Rpsa;Clip3;Eef1a1;Smo;Tmx2;Stim1;Col4a2;Scg5;Sbds;Erf;Cmpk2;Fkbp9;Nupr1;Fam92b;Fkbp3;Fkbp5;Gria1;Atp6v1a;Ndufb10;Usp54;Insig1;Ntm;Rhobtb3;Slc1a4;Ak4;Fbln5;Cnn3;Socs3;Arhgap21;Sbno2;Klc3;Man2a2;Btbd1;Mobp;Dhrs7b;Btbd3;Them4;Camta1;Mbp;Cyc1;Ip6k1;Ndufv2;Pltp;Mcl1;Smad1;Hhatl;Rasl10b;Zbtb16;Ephx2;Idh2;Msn;Coq7;Fbxo31;Reep1;Mfhas1;Cops6;P4ha1;Reep5;Stk25;Reep3;Rcan2;Bcl3;Plekhm2;Dhcr7;Gnb5;Xaf1;Eif4g3;Fgfr1;Eif4g1;Lgals3bp;Rtp4;Hspb1;Dbi;Lamc1;Ece2;Atp5g1;Rlbp1;Rbm3;Fyco1;Eef2k;Psd2;Mdk;Snapc2;Adamts1;Senp8;Nfkbiz;Flot1;Me1;A4galt;Sun2;Slc13a3;Gpx1;Commd10;Amt;Lsr;Urb1;Tnfrsf1a;Tapbp;Erbin;Rcn2;Ndufs7;Tst;Ctdsp2;Irf1;Aspg;Tmem9;Slc25a5;Irf9;Ppp1r15a;Itih5;Agpat5;Ddc;Mvk;Naxd;Lrp1;Luzp2;Mvp;Sema3g;Zbtb42;Cstf2t;Rnf7;Tns2;Tspan33;Psmb10;Hdac7;Srr;Clec3b;Mat2a;Cnr1;S1pr1;Lrig1;Lrrc8a;Vhl;E2f5;Mapk4;Gbp3;Mapk3;Usp24;Spen;Slc35a2;Negr1;Lgi3;Mboat2;Efr3b;Sgpp1;Apln;Asxl1;Slc4a8;Nfasc;Dbndd2;Marcks;Myo1c;Thrsp;Polr3h;Vim;Sycp3;Cdo1
Foxf1,Ppp1r15a;Rpl4;Mvk;Ccnh;Lrtm2;Pros1;Cltb;Hspb1;Ak4;Etfb;Ifit1;Sult1a1;Prdx2;Lgals1;Fam120c;Mpz;Asna1;Tspan7;Nfkbiz;Tom1;Smyd1;Pltp;Slc13a3;Mbnl2;Rsad2;Pmm1;Tnfrsf12a;Tpm3;Gpx3;Omg;Gfra1;Fos;Fam126a;Coq7;Dnm1;Asxl1;Cops6;Carhsp1;Mia2;Fez1;Fabp7;Rcan2;Sbds;Sfxn1;Calr;Gnb5;Ezr;Eif4g1;Slc22a4;Gbp5;Tmem135;Negr1;Slc44a1;Entpd6;Sc5d;Fmc1;A4galt;Tmco1;Eif1
Foxj1,Rnf10;Tinagl1;Hip1;Cltb;Fam107a;Hspb1;Atp5g1;Glipr2;Tom1;Tmed2;Anxa7;Map3k6;Synpo;Cavin1;Sun2;Amt;Kctd1;Irak3;Bcs1l;Rnf126;Cttn;Cmpk2;Pmp2;Ezr;Lman2l;Capg;Cox5a;Fbln5;Rida;Sult1a1;Sbno2;Sertad3;Man2a2;Btbd3;Mgat3;Spp1;S100a11;Jam2;Mapk4;Mapk3;Idh2;Msn;Tmco1;Ptprd;Slc4a8;Spcs2;Psat1;Alpl;Plekhm2;Nf2;Calm1
Foxo3,Brd2;Clec3b;Dbndd2;Tinagl1;Egln2;Flot1;Sdhc;Slc7a10;Ifit1
Foxo3a,Ppp1r15a;Rpl4;Mvk;Ccnh;Pros1;Hspb1;Ak4;Etfb;Myl12a;Sult1a1;Prdx2;Sbno2;Fam120c;Mpz;Asna1;Nfkbiz;Tom1;Smyd1;Jam2;Mbnl2;Pmm1;Tnfrsf12a;Omg;Gfra1;Sorbs1;Fam126a;Coq7;Dnm1;Asxl1;Fez1;Fabp7;Calr;Rgl1;Ezr;Astn1;Eif4g1;Macf1;Mtmr3;Ndufb10;Amigo2;Apip;Capg;Triobp;Rida;Ifit2;Socs3;Srr;Laptm4a;Man2a2;Cdc37l1;Lgals9;E2f5;Kpna3;Vta1;Arid5a;Ifi47;Slc39a14;Sgpp1;Ptp4a2;Irf7;Ctxn1;Tpt1;Ergic1
Gata2,Ifitm3;Rpl4;Slc35b2;Ahcyl1;Arl6ip1;Ccnh;Aqp4;Fnbp1l;Ifit1;Txndc15;Ifit3;Icam1;Mylk;Ifit2;C4b;Endou;Golga4;Gja1;Samd14;Arl6ip4;Lgals9;Synpo;Wls;Tspyl2;Rsad2;Stard7;Entpd5;Prkcd;Entpd6;Ifrd1;Rfx3;Fndc5;Ppp1r3g;Carhsp1;Mia2;Kctd10;Fez1;Serping1;Padi2;Vdac2;Tagln3;Ezr;Ctxn1;Astn1;Cdc42se1;Gpm6a;Adcyap1r1;Tbc1d9b;Pdxdc1;Myl12a;Sult1a1;Ldha;Ptdss1;Tspan4;Cd14;Ralgds;Snx5;Cadm3;Iqsec2;Pmm1;Iqsec1;Cidea;Marco;Gjb2;Ehd3;Ppp1r1b;Echdc3;Fxyd6;Sfxn1;Rnps1;Rgl1;Calm1;Itm2c;Pygb;Synm;Tinagl1;Hip1;Ptprn;Cltb;Prkag1;Prkag2;Hrct1;Vldlr;Slc7a10;Arhgap5;Triobp;Tmem47;Akap13;Slc22a17;Tmsb4x;Adamtsl2;Phgdh;Cic;Cd34;Enoph1;Tead3;Brd2;Tpi1;Pllp;Metrn;Slc39a10;Tmc7;Gfra1;Ampd3;Gab2;Osmr;Cldn10;Gprc5b;Arhgef4;Vamp1;Pick1;Ppard;Kank1;Slc43a3;Sbsn;Fam129b;Rida;Drp2;Olfml3;Camk2n1;Tceal3;Flnc;Msx1;Eps15;Stat1;Pcp4l1;Nr1h2;Tmem176a;Mlh3;Psmb8;Tmco1;Dhrs7;Znfx1;Zyx;Ypel3;Pnpla2;Col16a1;Steap4;Plxnd1;Ndufa11;Fam107a;Plod2;Tmem140;Amot;Rph3a;Laptm4a;Chchd3;Ccnd2;Tmem147;Mpz;Sirpa;Slc39a1;Cavin1;Kpna3;Tgm2;Tpm3;Mamstr;Cybb;Kctd1;Sdhc;Slc30a1;Clip3;Eef1a1;Tmem135;Smo;Tmx2;Adam15;Stim1;Col4a2;Eef1a2;Gpd1;S100a6;Erp29;Sbds;Cmpk2;Sqstm1;Fkbp3;Atp6v1a;Lrrc59;Insig1;Man2a2;Mobp;Mustn1;Dhrs7b;Btbd3;Camta1;Smyd1;Mbp;Cyc1;Ip6k1;Txndc5;Smad1;Hhatl;Slc14a2;Wfs1;Fus;Zbtb16;Vta1;Ephx2;Tnk2;Msn;Coq7;Reep1;Mfhas1;Reep5;Reep3;Dlg5;Maff;Gnb5;Nf2;Nit1;Eif4g3;Fgfr1;Bmpr1a;Eif4g1;Rtp4;Dbi;Lamc1;Etfb;Ece2;Rlbp1;Fyco1;Eef2k;Psd2;Mdk;Snapc2;Adamts1;Senp8;Nfkbiz;Flot1;Myo18a;Sun2;Slc13a3;Gpx1;Commd10;Lsr;Irak3;Ddost;Tnfrsf1a;Gap43;Ctdsp2;Irf1;Itih5;Agpat5;Hdac2;Ddc;Mvk;Lrp1;Luzp2;Mvp;Lrtm2;Cstf2t;Rnf7;Tns2;Tspan31;Clec3b;Mat2a;Sv2b;Cnr1;Tmem205;Cdc37l1;E2f5;Mapk4;Usp24;Cmtm5;Mboat2;Nap1l1;Asxl1;Nfasc;Dbndd2;Psat1;Chpt1;Polr3h;Vim;Eif3f;Sycp3;Slc25a34;Cdo1;Tpt1
Gfi1,Ywhae;Midn;Ncan;Pros1;Cltb;Fam107a;Hspb1;Atp5g1;Txndc15;Endou;A4galt;Kpna3;Igfbp4;Fbxo2;Amt;Tmc7;Ampd3;Bcs1l;Tuba4a;Ptp4a2;Carhsp1;Nupr1;Hap1;Vgll3;Fkbp5;Ppp1r15a;Mtmr3;Capg;Cox5a;Sult1a1;Klc3;Rdh12;Galr3;Asna1;Mgat3;Lrrc8a;Cd14;Pltp;Ralgds;Spen;Rpl41;Pmm1;Nr1h2;Fbxo31;G6pc3;Sycp3;Nf2;Eif4g3;Pnpla2;Fgfr1;Eif4g1
Gli2,Slc35b2;Midn;Tinagl1;Hip1;Plxnd1;Kcnc3;Prkag1;Vldlr;Etfb;Txndc16;Tgm1;Fads3;Fyco1;Fads2;9-sep;Eef2k;Dbp;Psd2;Slc22a17;Capn5;Cic;Wls;Gpr179;Sun2;Slc13a3;Parp3;Gpx1;Stard7;Metrn;Bgn;Kremen1;Slc39a10;Ndufc2;Rhof;Asrgl1;Tapbp;Mia2;Tst;Eef1a2;Erf;Padi2;Tmem9;Adcyap1r1;Insig1;Kcna1;Slc1a4;Slc5a3;Pla2g7;Fbln5;Gnai2;Arhgap21;Mobp;Rdh12;Fam120c;Bag1;Susd4;Tspan4;Cd14;Ctnna2;Vhl;Jam2;Gadd45b;Zbtb16;Mboat2;Sorbs1;Eif1;Mfhas1;Gjb2;Cxcl12;Slc6a8;Myo1c;Psat1;Maff;Mafk;Rnps1;Sycp3;Eif4g1
Gtf2i,Cdkn1a;Slc13a3;Gpx1;8-mar;Gdpd2;Fos;Marco;Myo1c;Dlg5;Rnps1;Slc38a3;Eps15;Bcl2l1
Hif1a,Rpl4;Synm;Midn;Ptprn;Plod2;Ifit1;Sat1;Atp5g1;Endou;Akap13;Fyco1;9-sep;Snapc2;Efhd1;Tmed2;Enoph1;Gpr179;Tsc22d4;Mamstr;Pllp;Shisa5;Rpsa;Cldn10;Rnf126;Carhsp1;Ndufs7;Aplnr;Irf7;Serping1;Ergic1;Vgll3;Fkbp5;Exd2;Kank1;Mtmr3;Cox5a;Akap2;Psmb10;Gnai2;Coro1c;Emg1;Rdh12;Mgat3;Lrrc8a;Pltp;Idh2;Fuz;Def8;Efr3b;Prrc2b;Hinfp;Eif1;Sccpdh;Maff;Gnb5;Nf2;Tmem9b;Bcl2l1;Eif4g1
Hinfp,Steap4;Plxnd1;Plod2;Hr;Tmem140;Txndc15;Nudt4;Fads3;Fads2;Retreg2;Samd14;Chchd3;Ccnd2;Capn2;Sirpa;Junb;Tgm2;Tspyl2;Mbnl2;Rsad2;Prkcd;Cacna2d3;Slc30a1;Shisa9;Dctd;S100a6;Erp29;Anapc4;Mxra7;Ezr;Frem2;Macf1;Adcyap1r1;Ndufb10;Slc1a4;Ak4;Slc5a3;Pla2g7;Myl12a;Coro1c;Sel1l3;Arhgap21;Nln;Sbno2;Btbd3;Bag1;Abl1;Tspan4;Tspan3;Cyc1;Ralgds;Txndc5;Tmem86a;Iqsec1;Wfs1;Zbtb16;Tnk2;Ptprd;Slc6a8;P4ha1;Bcl3;Ppp1r1b;Maff;Plekhm2;Amotl2;Calr;Rgl1;Rarg;Hip1;Hspb6;Kcnc3;Dbi;Arhgap5;Triobp;Trim8;Psd2;Mdk;Senp8;Hey2;Nfkbiz;Flot1;Phgdh;A4galt;Cic;Enoph1;Sun2;Tpi1;Gpx3;Commd10;Rhof;Urb1;C1ql1;Gprc5b;Rcn2;Irf1;Aspg;Irf7;Rdh5;Cdc42ep1;Pmp2;Tmem9;Chst2;Itih5;Mvp;Kcna1;Atl2;Ptn;Tns2;Akap2;Gnai2;Fam129b;Rida;Sertad3;Cnr1;Camk2n1;Tceal3;Susd4;Spp1;Ctnna1;Cdc37l1;Ctnna2;E2f5;Gbp2;Farp1;Egln2;Haghl;Sorbs1;Psmb8;Stxbp5l;Asxl1;Nfasc;Marcks;Myo1c;Psat1;Fabp7;Zyx;Polr3h;Tpt1
Hivep1,Rpl4;Cxcl10;Mbnl2;Glipr2;Tceal3;Dhrs7b;Nr1h2;Myo6;Gfra1;Tpt1;Txndc5;Tspan31
Hnf4a,Cdkn1a;Aldh1l1;Midn;Tinagl1;Kcnc3;Prkag2;Plod2;Aqp4;Triobp;Rph3a;Rbm3;Tgm1;Endou;Akap13;Chchd3;Senp8;Tom1;Adora1;Tmed2;Anxa7;Timp1;Pamr1;Chid1;Parp3;Tspyl1;Mbnl2;Mamstr;Ifrd1;Ampd3;Fos;Osmr;Slc39a14;Tuba4a;Cldn10;Rcn2;Rhoj;Erp29;Serping1;Hap1;Angptl4;Fam92b;Ezr;Fkbp5;Ppard;Macf1;Tbc1d9b;Ndufb10;Capg;Cox5a;Akap2;Olfml3;Asna1;Ucp2;4-sep;Pltp;Snx5;Mapk3;Cadm3;Sorbs1;Cherp;Mfhas1;Sqle;Ehd3;P4ha1;Ppp1r1a;Clcf1;Fxyd6;Nf2;Xaf1;Pnpla2;Eif4g1
Hoxd9,8-mar;Ccnh;Cltb;Apip;Prkag2;Hspb1;Plod2;Ece2;Fnbp1l;Atp5g1;Ifit3;Mylk;Eef2k;Bcl7a;Me1;Enpp2;Il13ra1;Gabarapl1;Gpx3;Omg;Taldo1;Sdhc;Lsr;Emp2;Ptgr2;Cldn10;Rhoj;Sbds;Rdh5;Fkbp9;Hlf;Ahnak;Kcna1;Gdpd2;Cox5a;Osgep;Sult1a1;Nln;Asna1;4-sep;Msx1;Fus;Idh2;Sorbs1;Hinfp;Cxcl10;Spcs2;Ppp1r1a;Reep3;Gnb5;Sycp3;Ypel3;Fgfr1
Ikzf1,Rtp4;Cdkn1a;Aldh1l1;Rarg;Tnfaip6;Ggta1;Rph3a;Trim9;Retreg2;Mprip;Mdk;Glipr2;Snapc2;Adamtsl2;Capn5;A4galt;Slc39a1;Tnfrsf12a;Mamstr;Entpd6;Gab2;Urb1;Foxp4;Gprc5b;Tmem35a;Erf;Serping1;Nupr1;Fam92b;Lxn;Zfp869;Lrp1;Slc43a3;Lrtm2;Gdpd2;Slc1a4;Rnf7;Hdac7;Rras;Olfml3;Btbd3;Fam241a;Tspan4;Smyd1;Lrrc8a;Mbp;Apod;Flnc;Sncb;Snx5;Slc35a2;Gdf10;Hhatl;Tmem176b;Cmtm5;Tmem176a;Mlh3;Marcks;Dhrs7;Ehd3;Lrg1;Ppp1r1a;Fabp7;Clcf1;Nit1;Itm2c;Cuedc2;Hip1;Fam107a;Hspb1;Hr;Ifit3;Icam1;9-sep;Tom1;Tmed2;Chid1;Tsc22d4;Endog;Paqr7;Igfbp4;Tpm3;Pllp;Metrn;Fbxo2;Ifrd1;Shisa5;Kctd1;Tnfrsf1a;Ptp4a2;Carhsp1;Cttn;Crispld2;Eef1a2;Pick1;Ppp1r15a;Mtmr3;Tns2;Sbsn;Klc3;Rdh12;Galr3;Mgat3;Ctnna1;Pltp;Ralgds;Mapk3;Prrc2b;Fbxo31;Lcn2;Plekhm2;Calm1;Ramp1;Pnpla2;Eif4g1
Irf8,Ndufa13;Hip1;8-mar;Prkag1;Prkag2;Ece2;Arhgap5;Ifit1;Sat1;Icam1;C4b;Endou;Map1lc3b;Gja1;Senp8;Cd34;Brd2;Tspyl1;Rsad2;Prkcd;Shisa9;Asrgl1;Fndc5;Cldn10;Carhsp1;Ndufs7;Ifi27;Kctd10;Map7d1;Aspg;Vdac2;Nupr1;Angptl4;Chst2;Astn1;Ppard;Naxd;Hlf;Slc43a3;Mvp;Kcna1;Amigo2;Lpar1;Rhobtb3;Lcat;Cstf2t;Slc5a3;Cnn3;Sel1l3;Sult1a1;Drp2;Ldha;Myo6;Bag1;Abl1;Tspan4;Flnc;Pltp;Slc35a2;Rpl41;Iqsec1;Sorbs1;Gng12;Cxcl10;Myo1c;Plekhm2;Vim;Fcgr2b;Cdo1;Fgfr1
